Company,Headquarters City
3m,"Maplewood, MN"
American Express,"New York City, NY"
Apple,"Cupertino, CA"
Boeing,"Chicago, IL"
Caterpillar,"Peoria, IL"
Chevron,"San Ramon, CA"
Cisco,"San Jose, CA"
Coca-Cola,"Atlanta, GA"
Disney,"Burbank, CA"
DowDupont,"Wilmington, DE"
Exxon Mobil,"Irving, TX"
Goldman Sachs,"New York City, NY"
Home Depot,"Atlanta, GA"
IBM,"Armonk, NY"
Intel,"Santa Clara, CA"
Johnson & Johnson,"New Brunswick, NJ"
JP Morgan Chase,"New York City, NY"
McDonald's,"Chicago, IL"
Merek,"Kenilworth, NJ"
Microsoft,"Redmond, WA"
Nike,"Beaverton, OR"
Pfizer,"New York City, NY"
Procter and Gamble,"Cincinnati, OH"
Travelers Companies,"New York City, NY"
United Technologies,"Farmington, CT"
UnitedHealth,"Minnetonka, MN"
Verizon,"New York City, NY"
Visa,"Foster City, CA"
Wal-Mart,"Bentonville, AR"
Walgreens,"Deerfield, IL"
