Date,Open,Close,High,Low,Volume
1972-06-01,3.68,3.68,3.68,3.68,0
1972-06-02,3.66,3.66,3.66,3.66,0
1972-06-05,3.58,3.58,3.58,3.58,0
1972-06-06,3.40,3.40,3.40,3.40,0
1972-06-07,3.36,3.36,3.36,3.36,0
1972-06-08,3.44,3.44,3.44,3.44,0
1972-06-09,3.41,3.41,3.41,3.41,0
1972-06-12,3.47,3.47,3.47,3.47,0
1972-06-13,3.47,3.47,3.47,3.47,0
1972-06-14,3.42,3.42,3.42,3.42,0
1972-06-15,3.38,3.38,3.38,3.38,0
1972-06-16,3.38,3.38,3.38,3.38,0
1972-06-19,3.35,3.35,3.35,3.35,0
1972-06-20,3.36,3.36,3.36,3.36,0
1972-06-21,3.42,3.42,3.42,3.42,0
1972-06-22,3.49,3.49,3.49,3.49,0
1972-06-23,3.32,3.32,3.32,3.32,0
1972-06-26,3.22,3.22,3.22,3.22,0
1972-06-27,3.36,3.36,3.36,3.36,0
1972-06-28,3.39,3.39,3.39,3.39,0
1972-06-29,3.47,3.47,3.47,3.47,0
1972-06-30,3.57,3.57,3.57,3.57,0
1972-07-03,3.71,3.71,3.71,3.71,0
1972-07-04,3.71,3.71,3.71,3.71,0
1972-07-05,3.84,3.84,3.84,3.84,0
1972-07-06,3.84,3.84,3.84,3.84,0
1972-07-07,3.78,3.78,3.78,3.78,0
1972-07-10,3.74,3.74,3.74,3.74,0
1972-07-11,3.76,3.76,3.76,3.76,0
1972-07-12,3.74,3.74,3.74,3.74,0
1972-07-13,3.60,3.60,3.60,3.60,0
1972-07-14,3.62,3.62,3.62,3.62,0
1972-07-17,3.59,3.59,3.59,3.59,0
1972-07-18,3.62,3.62,3.62,3.62,0
1972-07-19,3.62,3.62,3.62,3.62,0
1972-07-20,3.44,3.44,3.44,3.44,0
1972-07-21,3.50,3.50,3.50,3.50,0
1972-07-24,3.57,3.57,3.57,3.57,0
1972-07-25,3.54,3.54,3.54,3.54,0
1972-07-26,3.54,3.54,3.54,3.54,0
1972-07-27,3.53,3.53,3.53,3.53,0
1972-07-28,3.54,3.54,3.54,3.54,0
1972-07-31,3.54,3.54,3.54,3.54,0
1972-08-01,3.63,3.63,3.63,3.63,0
1972-08-02,3.86,3.86,3.86,3.86,0
1972-08-03,3.92,3.92,3.92,3.92,0
1972-08-04,3.93,3.93,3.93,3.93,0
1972-08-07,3.92,3.92,3.92,3.92,0
1972-08-08,3.87,3.87,3.87,3.87,0
1972-08-09,3.87,3.87,3.87,3.87,0
1972-08-10,3.98,3.98,3.98,3.98,0
1972-08-11,4.02,4.02,4.02,4.02,0
1972-08-14,3.98,3.98,3.98,3.98,0
1972-08-15,3.94,3.94,3.94,3.94,0
1972-08-16,3.92,3.92,3.92,3.92,0
1972-08-17,3.84,3.84,3.84,3.84,0
1972-08-18,3.86,3.86,3.86,3.86,0
1972-08-21,3.84,3.84,3.84,3.84,0
1972-08-22,3.79,3.79,3.79,3.79,0
1972-08-23,3.71,3.71,3.71,3.71,0
1972-08-24,3.69,3.69,3.69,3.69,0
1972-08-25,3.69,3.69,3.69,3.69,0
1972-08-28,3.69,3.69,3.69,3.69,0
1972-08-29,3.74,3.74,3.74,3.74,0
1972-08-30,3.84,3.84,3.84,3.84,0
1972-08-31,3.82,3.82,3.82,3.82,0
1972-09-01,3.97,3.97,3.97,3.97,0
1972-09-04,3.97,3.97,3.97,3.97,0
1972-09-05,3.90,3.90,3.90,3.90,0
1972-09-06,3.77,3.77,3.77,3.77,0
1972-09-07,3.78,3.78,3.78,3.78,0
1972-09-08,3.70,3.70,3.70,3.70,0
1972-09-11,3.60,3.60,3.60,3.60,0
1972-09-12,3.50,3.50,3.50,3.50,0
1972-09-13,3.58,3.58,3.58,3.58,0
1972-09-14,3.62,3.62,3.62,3.62,0
1972-09-15,3.63,3.63,3.63,3.63,0
1972-09-18,3.68,3.68,3.68,3.68,0
1972-09-19,3.70,3.70,3.70,3.70,0
1972-09-20,3.82,3.82,3.82,3.82,0
1972-09-21,3.74,3.74,3.74,3.74,0
1972-09-22,3.75,3.75,3.75,3.75,0
1972-09-25,3.70,3.70,3.70,3.70,0
1972-09-26,3.74,3.74,3.74,3.74,0
