Date,Open,Close,High,Low,Volume
1972-06-01,0.73,0.73,0.73,0.73,0
1972-06-02,0.73,0.73,0.73,0.73,0
1972-06-05,0.72,0.72,0.72,0.72,0
1972-06-06,0.70,0.70,0.70,0.70,0
1972-06-07,0.70,0.70,0.70,0.70,0
1972-06-08,0.70,0.70,0.70,0.70,0
1972-06-09,0.70,0.70,0.70,0.70,0
1972-06-12,0.72,0.72,0.72,0.72,0
1972-06-13,0.72,0.72,0.72,0.72,0
1972-06-14,0.70,0.70,0.70,0.70,0
1972-06-15,0.70,0.70,0.70,0.70,0
1972-06-16,0.72,0.72,0.72,0.72,0
1972-06-19,0.70,0.70,0.70,0.70,0
1972-06-20,0.70,0.70,0.70,0.70,0
1972-06-21,0.70,0.70,0.70,0.70,0
1972-06-22,0.70,0.70,0.70,0.70,0
1972-06-23,0.70,0.70,0.70,0.70,0
1972-06-26,0.69,0.69,0.69,0.69,0
1972-06-27,0.69,0.69,0.69,0.69,0
1972-06-28,0.69,0.69,0.69,0.69,0
1972-06-29,0.67,0.67,0.67,0.67,0
1972-06-30,0.69,0.69,0.69,0.69,0
1972-07-03,0.72,0.72,0.72,0.72,0
1972-07-04,0.72,0.72,0.72,0.72,0
1972-07-05,0.72,0.72,0.72,0.72,0
1972-07-06,0.73,0.73,0.73,0.73,0
1972-07-07,0.78,0.78,0.78,0.78,0
1972-07-10,0.76,0.76,0.76,0.76,0
1972-07-11,0.76,0.76,0.76,0.76,0
1972-07-12,0.73,0.73,0.73,0.73,0
1972-07-13,0.73,0.73,0.73,0.73,0
1972-07-14,0.73,0.73,0.73,0.73,0
1972-07-17,0.70,0.70,0.70,0.70,0
1972-07-18,0.70,0.70,0.70,0.70,0
1972-07-19,0.70,0.70,0.70,0.70,0
1972-07-20,0.70,0.70,0.70,0.70,0
1972-07-21,0.72,0.72,0.72,0.72,0
1972-07-24,0.73,0.73,0.73,0.73,0
1972-07-25,0.70,0.70,0.70,0.70,0
1972-07-26,0.72,0.72,0.72,0.72,0
1972-07-27,0.70,0.70,0.70,0.70,0
1972-07-28,0.70,0.70,0.70,0.70,0
1972-07-31,0.70,0.70,0.70,0.70,0
1972-08-01,0.70,0.70,0.70,0.70,0
1972-08-02,0.70,0.70,0.70,0.70,0
1972-08-03,0.73,0.73,0.73,0.73,0
