Date,Open,Close,High,Low,Volume
1972-06-01,4.70,4.70,4.70,4.70,0
1972-06-02,4.72,4.72,4.72,4.72,0
1972-06-05,4.67,4.67,4.67,4.67,0
1972-06-06,4.60,4.60,4.60,4.60,0
1972-06-07,4.55,4.55,4.55,4.55,0
1972-06-08,4.57,4.57,4.57,4.57,0
1972-06-09,4.51,4.51,4.51,4.51,0
1972-06-12,4.60,4.60,4.60,4.60,0
1972-06-13,4.67,4.67,4.67,4.67,0
1972-06-14,4.78,4.78,4.78,4.78,0
1972-06-15,4.77,4.77,4.77,4.77,0
1972-06-16,4.80,4.80,4.80,4.80,0
1972-06-19,4.82,4.82,4.82,4.82,0
1972-06-20,4.85,4.85,4.85,4.85,0
1972-06-21,4.83,4.83,4.83,4.83,0
1972-06-22,4.83,4.83,4.83,4.83,0
1972-06-23,4.85,4.85,4.85,4.85,0
1972-06-26,4.85,4.85,4.85,4.85,0
1972-06-27,4.97,4.97,4.97,4.97,0
1972-06-28,5.08,5.08,5.08,5.08,0
1972-06-29,4.89,4.89,4.89,4.89,0
1972-06-30,4.92,4.92,4.92,4.92,0
1972-07-03,5.00,5.00,5.00,5.00,0
1972-07-04,5.00,5.00,5.00,5.00,0
1972-07-05,5.03,5.03,5.03,5.03,0
1972-07-06,5.17,5.17,5.17,5.17,0
1972-07-07,5.04,5.04,5.04,5.04,0
1972-07-10,5.00,5.00,5.00,5.00,0
1972-07-11,4.94,4.94,4.94,4.94,0
1972-07-12,5.01,5.01,5.01,5.01,0
1972-07-13,5.00,5.00,5.00,5.00,0
1972-07-14,5.00,5.00,5.00,5.00,0
1972-07-17,4.95,4.95,4.95,4.95,0
1972-07-18,4.82,4.82,4.82,4.82,0
1972-07-19,4.95,4.95,4.95,4.95,0
1972-07-20,4.88,4.88,4.88,4.88,0
1972-07-21,4.89,4.89,4.89,4.89,0
1972-07-24,5.04,5.04,5.04,5.04,0
1972-07-25,5.05,5.05,5.05,5.05,0
1972-07-26,5.05,5.05,5.05,5.05,0
1972-07-27,5.11,5.11,5.11,5.11,0
