Date,Open,Close,High,Low,Volume
1990-02-16,0.04,0.04,0.04,0.04,6532200
1990-02-20,0.04,0.04,0.04,0.04,1054600
1990-02-21,0.04,0.04,0.04,0.04,489800
1990-02-22,0.04,0.04,0.04,0.04,314000
1990-02-23,0.04,0.04,0.04,0.04,310400
1990-02-26,0.04,0.04,0.04,0.04,187000
1990-02-27,0.04,0.04,0.04,0.04,177600
1990-02-28,0.04,0.04,0.04,0.04,472000
1990-03-01,0.04,0.04,0.04,0.04,197400
1990-03-02,0.04,0.04,0.04,0.04,58600
1990-03-05,0.04,0.04,0.04,0.04,16800
1990-03-06,0.04,0.04,0.04,0.04,166000
1990-03-07,0.04,0.04,0.04,0.04,126200
1990-03-08,0.04,0.04,0.04,0.04,232800
1990-03-09,0.04,0.04,0.04,0.04,77400
1990-03-12,0.04,0.04,0.04,0.04,141000
1990-03-13,0.04,0.04,0.04,0.04,368200
1990-03-14,0.05,0.05,0.05,0.04,606600
1990-03-15,0.04,0.04,0.05,0.04,268200
1990-03-16,0.04,0.04,0.04,0.04,138400
1990-03-19,0.09,0.09,0.09,0.09,149400
1990-03-20,0.08,0.08,0.09,0.08,150100
1990-03-21,0.08,0.08,0.09,0.08,69100
1990-03-22,0.08,0.08,0.09,0.08,152000
1990-03-23,0.08,0.08,0.08,0.08,58700
1990-03-26,0.08,0.08,0.08,0.08,144800
1990-03-27,0.09,0.09,0.09,0.08,55300
1990-03-28,0.09,0.09,0.09,0.09,34000
1990-03-29,0.09,0.09,0.09,0.08,56500
1990-03-30,0.08,0.08,0.08,0.08,99800
1990-04-02,0.08,0.08,0.08,0.08,55100
1990-04-03,0.08,0.08,0.08,0.08,29000
1990-04-04,0.08,0.08,0.08,0.08,49600
1990-04-05,0.08,0.08,0.08,0.08,28900
1990-04-06,0.08,0.08,0.08,0.08,37400
1990-04-09,0.08,0.08,0.08,0.08,23200
1990-04-10,0.08,0.08,0.08,0.07,120800
1990-04-11,0.08,0.08,0.08,0.08,86100
1990-04-12,0.08,0.08,0.08,0.08,45700
1990-04-16,0.08,0.08,0.08,0.08,19500
1990-04-17,0.08,0.08,0.08,0.08,22800
1990-04-18,0.08,0.08,0.08,0.08,85000
1990-04-19,0.08,0.08,0.08,0.08,87300
1990-04-20,0.08,0.08,0.08,0.08,30400
1990-04-23,0.08,0.08,0.08,0.08,18600
1990-04-24,0.08,0.08,0.08,0.08,35700
1990-04-25,0.08,0.08,0.08,0.08,23500
1990-04-26,0.08,0.08,0.08,0.08,37200
1990-04-27,0.08,0.08,0.08,0.08,14600
1990-04-30,0.08,0.08,0.08,0.08,119200
1990-05-01,0.08,0.08,0.08,0.08,99900
1990-05-02,0.08,0.08,0.08,0.08,10900
1990-05-03,0.09,0.09,0.09,0.08,25100
1990-05-04,0.09,0.09,0.09,0.08,19800
1990-05-07,0.09,0.09,0.09,0.09,47000
1990-05-08,0.09,0.09,0.09,0.09,50300
1990-05-09,0.09,0.09,0.09,0.09,33600
1990-05-10,0.09,0.09,0.09,0.09,9700
1990-05-11,0.09,0.09,0.09,0.09,103900
1990-05-14,0.09,0.09,0.09,0.09,52900
1990-05-15,0.09,0.09,0.09,0.09,83800
1990-05-16,0.09,0.09,0.09,0.09,65000
1990-05-17,0.09,0.09,0.09,0.09,22900
1990-05-18,0.09,0.09,0.09,0.08,157700
1990-05-21,0.09,0.09,0.09,0.08,14000
1990-05-22,0.09,0.09,0.09,0.09,79800
1990-05-23,0.08,0.08,0.09,0.08,137900
1990-05-24,0.09,0.09,0.09,0.08,28200
1990-05-25,0.08,0.08,0.09,0.08,13900
1990-05-29,0.08,0.08,0.09,0.08,71900
1990-05-30,0.08,0.08,0.08,0.08,334300
1990-05-31,0.09,0.09,0.09,0.08,357600
1990-06-01,0.09,0.09,0.09,0.09,358100
1990-06-04,0.09,0.09,0.09,0.09,168400
1990-06-05,0.09,0.09,0.09,0.09,194900
1990-06-06,0.09,0.09,0.09,0.09,80700
1990-06-07,0.09,0.09,0.09,0.09,63000
1990-06-08,0.09,0.09,0.09,0.09,22800
1990-06-11,0.09,0.09,0.09,0.09,12800
1990-06-12,0.10,0.10,0.10,0.09,463200
1990-06-13,0.10,0.10,0.10,0.10,180900
1990-06-14,0.10,0.10,0.10,0.10,188800
1990-06-15,0.10,0.10,0.10,0.10,22700
1990-06-18,0.09,0.09,0.10,0.09,41400
1990-06-19,0.09,0.09,0.09,0.09,72400
1990-06-20,0.09,0.09,0.09,0.09,104600
1990-06-21,0.09,0.09,0.09,0.09,34500
1990-06-22,0.09,0.09,0.09,0.09,2800
1990-06-25,0.09,0.09,0.09,0.09,12500
1990-06-26,0.09,0.09,0.09,0.09,16200
1990-06-27,0.09,0.09,0.09,0.09,13200
1990-06-28,0.09,0.09,0.09,0.09,533500
1990-06-29,0.09,0.09,0.09,0.09,167600
1990-07-02,0.09,0.09,0.09,0.09,132400
1990-07-03,0.09,0.09,0.09,0.09,9900
1990-07-05,0.09,0.09,0.09,0.09,22600
1990-07-06,0.09,0.09,0.09,0.09,8600
1990-07-09,0.09,0.09,0.09,0.09,50800
1990-07-10,0.09,0.09,0.09,0.09,144200
1990-07-11,0.10,0.10,0.10,0.09,112900
1990-07-12,0.10,0.10,0.10,0.10,57700
1990-07-13,0.11,0.11,0.11,0.10,161900
1990-07-16,0.10,0.10,0.11,0.10,277700
1990-07-17,0.10,0.10,0.10,0.09,145900
1990-07-18,0.10,0.10,0.10,0.09,81700
1990-07-19,0.10,0.10,0.10,0.10,89600
1990-07-20,0.10,0.10,0.10,0.10,209000
1990-07-23,0.09,0.09,0.10,0.09,124700
1990-07-24,0.09,0.09,0.09,0.08,178000
1990-07-25,0.09,0.09,0.09,0.08,151800
1990-07-26,0.09,0.09,0.09,0.09,61600
1990-07-27,0.09,0.09,0.09,0.09,30700
1990-07-30,0.09,0.09,0.09,0.09,62000
1990-07-31,0.09,0.09,0.09,0.09,32400
1990-08-01,0.09,0.09,0.09,0.09,29200
