Date,Open,Close,High,Low,Volume
1970-01-02,3.20,3.27,3.27,3.20,526400
1970-01-05,3.27,3.28,3.30,3.26,1121600
1970-01-06,3.28,3.23,3.30,3.22,553600
1970-01-07,3.23,3.23,3.24,3.20,451200
1970-01-08,3.27,3.29,3.31,3.27,635200
1970-01-09,3.29,3.30,3.30,3.27,515200
1970-01-12,3.30,3.27,3.32,3.25,334400
1970-01-13,3.27,3.23,3.27,3.22,372800
1970-01-14,3.23,3.13,3.23,3.10,1124800
1970-01-15,3.13,3.12,3.14,3.10,336000
1970-01-16,3.12,3.12,3.13,3.09,425600
1970-01-19,3.12,3.11,3.12,3.09,508800
1970-01-20,3.11,3.08,3.11,3.07,588800
1970-01-21,3.08,3.05,3.09,3.05,454400
1970-01-22,3.05,3.06,3.09,3.03,640000
1970-01-23,3.06,3.05,3.06,3.03,427200
1970-01-26,3.05,3.02,3.05,2.98,732800
1970-01-27,3.02,3.02,3.02,2.95,540800
1970-01-28,3.02,2.91,3.03,2.91,499200
1970-01-29,2.91,2.91,2.94,2.88,696000
1970-01-30,2.91,2.88,2.94,2.86,817600
1970-02-02,2.88,2.88,2.91,2.86,937600
1970-02-03,2.88,2.85,2.88,2.84,1971200
1970-02-04,2.85,2.88,2.88,2.85,534400
1970-02-05,2.88,2.88,2.88,2.85,337600
1970-02-06,2.88,2.86,2.88,2.85,272000
1970-02-09,2.86,2.85,2.88,2.85,558400
1970-02-10,2.85,2.70,2.87,2.70,996800
1970-02-11,2.70,2.77,2.77,2.64,878400
1970-02-12,2.77,2.70,2.80,2.67,816000
1970-02-13,2.70,2.72,2.76,2.66,492800
1970-02-16,2.72,2.75,2.75,2.70,488000
1970-02-17,2.75,2.73,2.76,2.71,451200
1970-02-18,2.75,2.80,2.81,2.75,1028800
1970-02-19,2.81,2.84,2.86,2.81,824000
1970-02-20,2.84,2.88,2.88,2.84,1166400
1970-02-24,2.88,2.88,2.88,2.85,1043200
1970-02-25,2.89,2.97,2.97,2.89,593600
1970-02-26,2.97,3.00,3.02,2.96,862400
1970-02-27,3.00,2.97,3.03,2.97,1246400
1970-03-02,2.97,2.91,2.97,2.89,518400
1970-03-03,2.91,2.90,2.94,2.85,544000
1970-03-04,2.90,2.88,2.93,2.87,422400
1970-03-05,2.87,2.86,2.87,2.84,684800
1970-03-06,2.86,2.88,2.88,2.84,481600
1970-03-09,2.88,2.87,2.92,2.84,524800
1970-03-10,2.87,2.88,2.90,2.85,430400
1970-03-11,2.88,2.88,2.90,2.88,843200
1970-03-12,2.88,2.87,2.88,2.85,539200
1970-03-13,2.87,2.83,2.87,2.80,688000
1970-03-16,2.80,2.80,2.80,2.70,732800
1970-03-17,2.80,2.80,2.82,2.77,564800
1970-03-18,2.80,2.83,2.86,2.79,436800
1970-03-19,2.83,2.76,2.83,2.76,827200
1970-03-20,2.76,2.77,2.77,2.73,372800
1970-03-23,2.75,2.73,2.75,2.71,539200
1970-03-24,2.73,2.76,2.78,2.72,355200
1970-03-25,2.77,2.81,2.87,2.77,987200
1970-03-26,2.80,2.75,2.80,2.72,1644800
1970-03-30,2.75,2.74,2.75,2.73,628800
1970-03-31,2.74,2.78,2.79,2.73,579200
1970-04-01,2.78,2.84,2.84,2.78,1028800
1970-04-02,2.84,2.78,2.84,2.76,1150400
1970-04-03,2.78,2.81,2.81,2.77,449600
1970-04-06,2.81,2.82,2.83,2.79,384000
1970-04-07,2.82,2.78,2.82,2.78,422400
1970-04-08,2.78,2.80,2.80,2.77,321600
1970-04-09,2.80,2.80,2.80,2.75,520000
1970-04-10,2.80,2.78,2.80,2.77,360000
1970-04-13,2.78,2.77,2.80,2.76,408000
1970-04-14,2.77,2.74,2.77,2.73,563200
1970-04-15,2.74,2.74,2.75,2.73,385600
1970-04-16,2.74,2.70,2.74,2.69,816000
1970-04-17,2.70,2.71,2.73,2.69,286400
1970-04-20,2.71,2.71,2.73,2.70,350400
1970-04-21,2.71,2.71,2.73,2.70,302400
1970-04-22,2.71,2.70,2.71,2.66,440000
1970-04-23,2.70,2.69,2.70,2.66,516800
1970-04-24,2.69,2.65,2.70,2.64,548800
1970-04-27,2.65,2.63,2.67,2.63,582400
1970-04-28,2.63,2.59,2.65,2.56,860800
1970-04-29,2.59,2.61,2.62,2.50,873600
1970-04-30,2.61,2.61,2.65,2.59,430400
1970-05-01,2.61,2.61,2.61,2.53,707200
1970-05-04,2.61,2.56,2.62,2.53,537600
1970-05-05,2.55,2.52,2.55,2.51,633600
1970-05-06,2.52,2.51,2.53,2.48,1187200
1970-05-07,2.51,2.51,2.52,2.48,563200
1970-05-08,2.51,2.50,2.52,2.49,531200
1970-05-11,2.50,2.49,2.51,2.47,580800
