Date,Open,Close,High,Low,Volume
1999-05-04,70.38,70.38,77.25,70.00,22320900
1999-05-05,69.63,69.13,69.63,66.31,6579000
1999-05-06,68.00,67.94,69.38,67.06,2163500
1999-05-07,67.94,74.69,74.69,66.75,4324100
1999-05-10,73.38,70.50,73.50,70.25,2190500
1999-05-11,70.00,70.63,71.13,69.50,1459200
1999-05-12,71.00,73.69,74.88,69.13,2273000
1999-05-13,73.25,73.19,75.25,72.50,897800
1999-05-14,72.25,70.00,72.25,69.06,1564700
1999-05-17,69.13,68.63,70.25,68.00,1876400
1999-05-18,68.25,68.63,70.44,68.13,1085400
1999-05-19,69.38,69.31,69.81,68.75,603200
1999-05-20,69.56,68.38,70.13,68.38,419700
1999-05-21,68.13,67.50,68.81,67.50,790600
1999-05-24,67.00,65.31,67.25,65.00,1279200
1999-05-25,64.13,64.63,65.94,64.00,1294300
1999-05-26,64.13,66.06,66.63,63.06,1421200
1999-05-27,65.00,67.75,67.75,64.69,1133800
1999-05-28,67.75,67.94,68.81,67.00,774500
1999-06-01,66.63,64.38,66.63,63.63,795600
1999-06-02,64.00,63.25,64.06,62.00,1997000
1999-06-03,64.00,63.63,64.19,63.13,773200
1999-06-04,64.00,65.38,67.00,63.13,1091900
1999-06-07,65.19,65.94,67.75,65.19,824300
1999-06-08,65.19,63.75,65.69,63.75,458200
1999-06-09,64.25,65.25,65.44,63.63,534600
1999-06-10,64.88,63.38,64.94,63.31,597100
1999-06-11,64.00,63.25,64.31,62.31,864800
1999-06-14,63.56,61.25,64.00,60.50,693000
1999-06-15,62.88,62.88,63.38,62.25,677700
1999-06-16,63.94,65.25,65.44,63.94,525100
1999-06-17,64.50,65.00,66.88,64.50,810900
1999-06-18,64.25,64.81,64.88,63.50,554700
1999-06-21,66.69,69.81,69.94,66.56,1584700
1999-06-22,70.13,67.75,70.13,67.75,1006600
1999-06-23,67.06,65.00,67.38,64.88,1054700
1999-06-24,66.06,65.06,66.50,64.50,1281500
1999-06-25,65.50,66.25,66.81,65.38,999600
1999-06-28,66.44,66.56,67.50,65.75,703200
1999-06-29,66.00,67.50,68.50,66.00,515300
1999-06-30,68.50,72.25,72.25,66.13,1754800
1999-07-01,71.38,70.81,71.38,69.75,678900
1999-07-02,70.56,70.75,71.19,69.69,427700
1999-07-06,70.00,70.50,71.19,69.25,644400
1999-07-07,69.75,68.00,69.94,68.00,496000
1999-07-08,68.00,67.25,68.88,67.19,350700
1999-07-09,67.44,67.25,68.13,67.25,266000
1999-07-12,68.00,68.38,68.94,67.88,483600
1999-07-13,68.19,67.88,68.69,67.81,845100
1999-07-14,67.38,67.63,67.75,67.38,779700
1999-07-15,68.00,67.94,68.00,67.50,743500
1999-07-16,67.75,68.06,68.75,67.75,409300
1999-07-19,68.25,69.50,70.75,68.25,558800
1999-07-20,69.13,68.13,70.44,67.88,785100
1999-07-21,68.00,67.88,68.06,67.13,589400
1999-07-22,68.13,66.50,68.13,66.50,464600
1999-07-23,66.38,64.06,66.38,64.00,629100
1999-07-26,64.25,63.25,64.75,63.25,673500
1999-07-27,64.25,65.75,65.75,63.31,503600
1999-07-28,65.25,66.06,66.38,64.00,535400
1999-07-29,65.50,65.00,65.50,64.50,595800
1999-07-30,64.63,64.31,64.63,63.63,580300
1999-08-02,64.25,62.81,64.56,62.38,473300
1999-08-03,62.81,60.81,62.81,60.75,730700
1999-08-04,60.56,60.00,61.50,60.00,1145000
1999-08-05,59.81,59.25,59.88,57.81,1202300
1999-08-06,58.88,56.25,58.88,56.00,1149300
1999-08-09,56.50,55.81,57.50,55.81,1196000
1999-08-10,56.25,57.00,57.19,55.19,1617500
1999-08-11,57.88,61.50,61.56,57.44,1238900
1999-08-12,61.44,60.69,62.19,60.56,742800
1999-08-13,62.44,63.13,63.25,62.13,499800
1999-08-16,63.00,62.88,63.00,60.88,627900
1999-08-17,63.00,63.00,64.50,62.63,881700
1999-08-18,63.00,62.13,63.00,61.06,746800
1999-08-19,62.50,61.56,62.50,60.81,533700
1999-08-20,61.81,62.31,62.94,61.63,403200
1999-08-23,62.63,63.63,63.81,62.63,777200
1999-08-24,63.56,63.25,65.00,62.81,782300
1999-08-25,63.13,64.00,64.31,62.31,362200
1999-08-26,64.00,62.75,64.88,62.75,328400
1999-08-27,63.00,61.56,63.00,61.50,210700
1999-08-30,61.56,59.31,61.69,59.31,371900
1999-08-31,59.44,59.81,60.50,58.69,405800
1999-09-01,60.56,60.31,60.69,59.81,512100
1999-09-02,59.50,59.25,60.44,59.00,650800
1999-09-03,60.75,62.94,62.94,60.75,636200
1999-09-07,63.00,62.50,64.44,62.44,734500
1999-09-08,62.44,62.56,63.63,62.13,673100
1999-09-09,62.50,61.75,62.56,61.00,375600
1999-09-10,62.50,62.00,62.88,61.63,537700
1999-09-13,62.19,62.13,62.81,62.00,227300
1999-09-14,61.38,59.13,61.38,58.75,952800
1999-09-15,60.13,58.44,60.13,58.06,805200
1999-09-16,58.56,57.69,59.13,57.50,640300
1999-09-17,58.63,60.06,60.06,58.50,1024400
1999-09-20,60.06,60.56,60.56,59.50,661200
1999-09-21,60.50,59.06,61.75,58.38,2125400
1999-09-22,59.94,61.31,62.00,59.06,1268600
1999-09-23,61.75,60.81,62.19,60.81,787100
1999-09-24,61.06,61.94,62.19,61.00,733900
1999-09-27,62.13,61.56,62.63,61.25,570600
1999-09-28,61.31,62.25,62.25,61.06,765000
1999-09-29,62.38,61.44,62.75,61.13,699700
1999-09-30,61.94,61.00,62.50,61.00,998800
1999-10-01,61.00,59.31,61.25,58.31,666700
1999-10-04,59.50,61.69,61.69,59.50,685700
1999-10-05,62.13,62.38,63.25,61.38,927700
1999-10-06,62.13,64.00,64.00,61.81,877100
1999-10-07,64.00,63.19,64.13,63.19,336500
1999-10-08,62.50,63.94,63.94,61.88,418600
1999-10-11,63.75,63.69,63.94,63.50,204500
1999-10-12,63.56,62.94,63.69,62.75,600800
1999-10-13,62.63,61.00,62.63,60.69,367300
1999-10-14,60.50,62.00,62.56,58.88,957800
1999-10-15,60.50,59.75,60.63,58.25,1021500
1999-10-18,60.25,59.00,60.25,57.94,636300
1999-10-19,59.50,60.38,61.00,59.50,1000200
1999-10-20,60.50,61.75,62.38,60.50,438400
1999-10-21,61.25,61.81,61.81,61.13,252500
1999-10-22,62.75,65.38,65.75,62.75,1469100
1999-10-25,63.25,64.19,65.00,63.25,588400
