Date,Open,Close,High,Low,Volume
1981-09-22,0.02,0.02,0.02,0.02,21800
1981-09-23,0.02,0.02,0.02,0.02,21600
1981-09-24,0.02,0.02,0.02,0.02,15000
1981-09-25,0.02,0.02,0.02,0.02,21500
1981-09-28,0.02,0.02,0.02,0.02,17000
1981-09-29,0.02,0.02,0.02,0.02,11700
1981-09-30,0.02,0.02,0.02,0.02,15400
1981-10-01,0.02,0.02,0.02,0.02,12800
1981-10-02,0.02,0.02,0.02,0.02,10300
1981-10-05,0.02,0.02,0.02,0.02,5300
1981-10-06,0.02,0.02,0.02,0.02,7400
1981-10-07,0.02,0.02,0.02,0.02,12300
1981-10-08,0.02,0.02,0.02,0.02,400
1981-10-09,0.02,0.02,0.02,0.02,16600
1981-10-12,0.02,0.02,0.02,0.02,1100
1981-10-13,0.02,0.02,0.02,0.02,3400
1981-10-14,0.02,0.02,0.02,0.02,1200
1981-10-15,0.02,0.02,0.02,0.02,9100
1981-10-16,0.02,0.02,0.02,0.02,900
1981-10-19,0.02,0.02,0.02,0.02,3600
1981-10-20,0.02,0.02,0.02,0.02,4500
1981-10-21,0.03,0.03,0.03,0.03,20800
1981-10-22,0.02,0.02,0.03,0.02,18800
1981-10-23,0.03,0.03,0.03,0.03,11500
1981-10-26,0.03,0.03,0.03,0.03,12700
1981-10-27,0.03,0.03,0.03,0.03,3800
1981-10-28,0.03,0.03,0.03,0.03,10200
1981-10-29,0.03,0.03,0.03,0.03,1800
1981-10-30,0.03,0.03,0.03,0.03,1400
1981-11-02,0.03,0.03,0.03,0.03,2500
1981-11-03,0.03,0.03,0.03,0.03,3200
1981-11-04,0.03,0.03,0.03,0.03,3300
1981-11-05,0.03,0.03,0.03,0.03,12600
1981-11-06,0.03,0.03,0.03,0.03,400
1981-11-09,0.03,0.03,0.03,0.03,13000
1981-11-10,0.03,0.03,0.03,0.03,8200
1981-11-11,0.03,0.03,0.03,0.03,1200
1981-11-12,0.03,0.03,0.03,0.03,2000
1981-11-13,0.03,0.03,0.03,0.03,900
1981-11-16,0.03,0.03,0.03,0.03,8400
1981-11-17,0.03,0.03,0.03,0.03,600
1981-11-18,0.03,0.03,0.03,0.03,1100
1981-11-19,0.03,0.03,0.03,0.03,600
1981-11-20,0.03,0.03,0.03,0.03,7900
1981-11-23,0.03,0.03,0.03,0.03,2700
1981-11-24,0.03,0.03,0.03,0.03,1000
1981-11-25,0.03,0.03,0.03,0.03,700
1981-11-27,0.03,0.03,0.03,0.03,600
1981-11-30,0.03,0.03,0.03,0.03,300
1981-12-01,0.03,0.03,0.03,0.03,600
1981-12-02,0.03,0.03,0.03,0.03,1100
1981-12-03,0.03,0.03,0.03,0.03,5000
1981-12-04,0.03,0.03,0.03,0.03,14100
1981-12-07,0.03,0.03,0.03,0.03,11700
1981-12-08,0.03,0.03,0.03,0.03,8500
1981-12-09,0.03,0.03,0.03,0.03,3700
1981-12-10,0.03,0.03,0.03,0.03,2300
1981-12-11,0.03,0.03,0.03,0.03,800
1981-12-14,0.03,0.03,0.03,0.03,4900
1981-12-15,0.03,0.03,0.03,0.03,8500
1981-12-16,0.03,0.03,0.03,0.03,600
1981-12-17,0.03,0.03,0.03,0.03,5600
1981-12-18,0.03,0.03,0.03,0.03,1600
1981-12-21,0.03,0.03,0.03,0.03,2500
1981-12-22,0.03,0.03,0.03,0.03,4100
1981-12-23,0.03,0.03,0.03,0.03,3400
1981-12-24,0.03,0.03,0.03,0.03,5200
1981-12-28,0.03,0.03,0.03,0.03,1400
1981-12-29,0.03,0.03,0.03,0.03,1300
1981-12-30,0.03,0.03,0.03,0.03,1400
1981-12-31,0.03,0.03,0.03,0.03,800
