Date,Open,Close,High,Low,Volume
1972-06-01,19.95,19.95,19.95,19.95,0
1972-06-02,19.92,19.92,19.92,19.92,0
1972-06-05,19.73,19.73,19.73,19.73,0
1972-06-06,19.65,19.65,19.65,19.65,0
1972-06-07,19.77,19.77,19.77,19.77,0
1972-06-08,19.64,19.64,19.64,19.64,0
1972-06-09,19.55,19.55,19.55,19.55,0
1972-06-12,19.39,19.39,19.39,19.39,0
1972-06-13,19.64,19.64,19.64,19.64,0
1972-06-14,19.99,19.99,19.99,19.99,0
1972-06-15,19.88,19.88,19.88,19.88,0
1972-06-16,19.94,19.94,19.94,19.94,0
1972-06-19,19.83,19.83,19.83,19.83,0
1972-06-20,19.85,19.85,19.85,19.85,0
1972-06-21,19.88,19.88,19.88,19.88,0
1972-06-22,19.79,19.79,19.79,19.79,0
1972-06-23,19.75,19.75,19.75,19.75,0
1972-06-26,19.62,19.62,19.62,19.62,0
1972-06-27,19.62,19.62,19.62,19.62,0
1972-06-28,19.53,19.53,19.53,19.53,0
1972-06-29,19.58,19.58,19.58,19.58,0
1972-06-30,19.60,19.60,19.60,19.60,0
1972-07-03,19.76,19.76,19.76,19.76,0
1972-07-04,19.76,19.76,19.76,19.76,0
1972-07-05,20.00,20.00,20.00,20.00,0
1972-07-06,20.19,20.19,20.19,20.19,0
1972-07-07,20.20,20.20,20.20,20.20,0
1972-07-10,19.95,19.95,19.95,19.95,0
1972-07-11,19.85,19.85,19.85,19.85,0
1972-07-12,19.79,19.79,19.79,19.79,0
1972-07-13,19.59,19.59,19.59,19.59,0
1972-07-14,19.66,19.66,19.66,19.66,0
1972-07-17,19.40,19.40,19.40,19.40,0
1972-07-18,19.43,19.43,19.43,19.43,0
1972-07-19,19.50,19.50,19.50,19.50,0
1972-07-20,19.54,19.54,19.54,19.54,0
1972-07-21,19.83,19.83,19.83,19.83,0
1972-07-24,19.94,19.94,19.94,19.94,0
1972-07-25,19.90,19.90,19.90,19.90,0
1972-07-26,19.73,19.73,19.73,19.73,0
1972-07-27,19.85,19.85,19.85,19.85,0
1972-07-28,19.90,19.90,19.90,19.90,0
1972-07-31,20.04,20.04,20.04,20.04,0
1972-08-01,20.50,20.50,20.50,20.50,0
1972-08-02,20.45,20.45,20.45,20.45,0
1972-08-03,20.77,20.77,20.77,20.77,0
1972-08-04,20.80,20.80,20.80,20.80,0
1972-08-07,20.89,20.89,20.89,20.89,0
1972-08-08,20.91,20.91,20.91,20.91,0
1972-08-09,21.18,21.18,21.18,21.18,0
1972-08-10,21.18,21.18,21.18,21.18,0
1972-08-11,21.27,21.27,21.27,21.27,0
1972-08-14,21.24,21.24,21.24,21.24,0
1972-08-15,21.02,21.02,21.02,21.02,0
1972-08-16,20.80,20.80,20.80,20.80,0
1972-08-17,20.66,20.66,20.66,20.66,0
1972-08-18,20.58,20.58,20.58,20.58,0
1972-08-21,20.52,20.52,20.52,20.52,0
1972-08-22,20.64,20.64,20.64,20.64,0
1972-08-23,20.65,20.65,20.65,20.65,0
1972-08-24,20.37,20.37,20.37,20.37,0
1972-08-25,20.30,20.30,20.30,20.30,0
1972-08-28,20.21,20.21,20.21,20.21,0
1972-08-29,20.44,20.44,20.44,20.44,0
1972-08-30,20.40,20.40,20.40,20.40,0
1972-08-31,20.43,20.43,20.43,20.43,0
1972-09-01,20.31,20.31,20.31,20.31,0
1972-09-04,20.31,20.31,20.31,20.31,0
1972-09-05,20.24,20.24,20.24,20.24,0
1972-09-06,20.06,20.06,20.06,20.06,0
1972-09-07,19.98,19.98,19.98,19.98,0
1972-09-08,19.94,19.94,19.94,19.94,0
1972-09-11,19.83,19.83,19.83,19.83,0
1972-09-12,19.75,19.75,19.75,19.75,0
1972-09-13,19.90,19.90,19.90,19.90,0
1972-09-14,19.98,19.98,19.98,19.98,0
1972-09-15,19.89,19.89,19.89,19.89,0
1972-09-18,19.81,19.81,19.81,19.81,0
1972-09-19,19.85,19.85,19.85,19.85,0
1972-09-20,20.02,20.02,20.02,20.02,0
1972-09-21,19.98,19.98,19.98,19.98,0
1972-09-22,19.91,19.91,19.91,19.91,0
1972-09-25,19.91,19.91,19.91,19.91,0
1972-09-26,19.91,19.91,19.91,19.91,0
1972-09-27,20.35,20.35,20.35,20.35,0
1972-09-28,20.21,20.21,20.21,20.21,0
1972-09-29,20.33,20.33,20.33,20.33,0
1972-10-02,20.27,20.27,20.27,20.27,0
1972-10-03,20.34,20.34,20.34,20.34,0
1972-10-04,20.16,20.16,20.16,20.16,0
1972-10-05,19.75,19.75,19.75,19.75,0
1972-10-06,20.08,20.08,20.08,20.08,0
1972-10-09,20.02,20.02,20.02,20.02,0
1972-10-10,19.70,19.70,19.70,19.70,0
1972-10-11,19.54,19.54,19.54,19.54,0
1972-10-12,19.23,19.23,19.23,19.23,0
1972-10-13,18.95,18.95,18.95,18.95,0
1972-10-16,18.23,18.23,18.23,18.23,0
1972-10-17,18.52,18.52,18.52,18.52,0
1972-10-18,18.95,18.95,18.95,18.95,0
1972-10-19,18.93,18.93,18.93,18.93,0
1972-10-20,19.35,19.35,19.35,19.35,0
1972-10-23,19.52,19.52,19.52,19.52,0
1972-10-24,19.46,19.46,19.46,19.46,0
1972-10-25,19.18,19.18,19.18,19.18,0
1972-10-26,18.88,18.88,18.88,18.88,0
1972-10-27,18.94,18.94,18.94,18.94,0
1972-10-30,18.99,18.99,18.99,18.99,0
1972-10-31,19.27,19.27,19.27,19.27,0
1972-11-01,19.48,19.48,19.48,19.48,0
1972-11-02,19.55,19.55,19.55,19.55,0
1972-11-03,19.39,19.39,19.39,19.39,0
1972-11-06,19.05,19.05,19.05,19.05,0
1972-11-07,19.05,19.05,19.05,19.05,0
1972-11-08,18.83,18.83,18.83,18.83,0
