Date,Open,Close,High,Low,Volume
1970-01-02,1.25,1.22,1.25,1.22,1195200
1970-01-05,1.22,1.19,1.22,1.19,964800
1970-01-06,1.19,1.21,1.21,1.18,1036800
1970-01-07,1.21,1.21,1.22,1.20,331200
1970-01-08,1.21,1.22,1.23,1.21,460800
1970-01-09,1.22,1.22,1.24,1.22,748800
1970-01-12,1.22,1.20,1.22,1.20,864000
1970-01-13,1.20,1.21,1.22,1.20,849600
1970-01-14,1.21,1.23,1.23,1.21,619200
1970-01-15,1.23,1.23,1.23,1.23,1209600
1970-01-16,1.23,1.23,1.23,1.23,734400
1970-01-19,1.23,1.21,1.23,1.21,1180800
1970-01-20,1.21,1.21,1.21,1.19,763200
1970-01-21,1.21,1.22,1.22,1.21,878400
1970-01-22,1.22,1.22,1.22,1.21,360000
1970-01-23,1.22,1.22,1.23,1.21,979200
1970-01-26,1.22,1.22,1.22,1.21,979200
1970-01-27,1.21,1.20,1.21,1.20,532800
1970-01-28,1.19,1.14,1.19,1.14,1497600
1970-01-29,1.13,1.11,1.13,1.07,3585600
1970-01-30,1.10,1.10,1.10,1.08,2808000
1970-02-02,1.11,1.15,1.15,1.11,1612800
1970-02-03,1.15,1.15,1.20,1.15,2692800
1970-02-04,1.13,1.10,1.13,1.08,2793600
1970-02-05,1.10,1.15,1.15,1.09,1886400
1970-02-06,1.14,1.13,1.14,1.13,705600
1970-02-09,1.16,1.18,1.19,1.16,1684800
1970-02-10,1.20,1.20,1.22,1.20,2505600
1970-02-11,1.20,1.19,1.20,1.19,2232000
1970-02-12,1.19,1.15,1.19,1.14,3369600
1970-02-13,1.15,1.13,1.15,1.11,1540800
1970-02-16,1.13,1.12,1.13,1.12,820800
1970-02-17,1.12,1.10,1.12,1.09,1915200
1970-02-18,1.10,1.11,1.11,1.10,878400
1970-02-19,1.11,1.10,1.11,1.10,576000
1970-02-20,1.10,1.08,1.10,1.08,1396800
1970-02-24,1.08,1.06,1.09,1.05,3744000
1970-02-25,1.06,1.10,1.10,1.05,2822400
1970-02-26,1.09,1.08,1.09,1.06,1353600
1970-02-27,1.08,1.11,1.11,1.08,1627200
1970-03-02,1.11,1.10,1.12,1.10,1051200
1970-03-03,1.10,1.10,1.10,1.08,1468800
1970-03-04,1.10,1.11,1.12,1.10,734400
1970-03-05,1.11,1.11,1.11,1.10,892800
1970-03-06,1.11,1.09,1.11,1.09,907200
1970-03-09,1.09,1.09,1.09,1.08,273600
1970-03-10,1.08,1.08,1.08,1.07,1353600
1970-03-11,1.08,1.09,1.09,1.07,432000
1970-03-12,1.09,1.09,1.09,1.09,388800
1970-03-13,1.08,1.08,1.08,1.08,1339200
1970-03-16,1.08,1.06,1.08,1.06,806400
1970-03-17,1.06,1.05,1.06,1.05,1267200
1970-03-18,1.06,1.06,1.06,1.06,748800
1970-03-19,1.07,1.07,1.07,1.07,1123200
1970-03-20,1.07,1.07,1.07,1.06,518400
1970-03-23,1.07,1.06,1.07,1.06,216000
1970-03-24,1.06,1.05,1.06,1.04,1670400
1970-03-25,1.06,1.09,1.10,1.06,2275200
1970-03-26,1.09,1.09,1.09,1.08,936000
1970-03-30,1.09,1.08,1.09,1.08,1368000
1970-03-31,1.08,1.07,1.08,1.07,676800
1970-04-01,1.07,1.07,1.07,1.06,820800
1970-04-02,1.06,1.05,1.06,1.05,792000
1970-04-03,1.05,1.05,1.05,1.05,1008000
1970-04-06,1.05,1.02,1.06,1.02,2275200
1970-04-07,1.02,0.99,1.02,0.99,1526400
1970-04-08,0.99,0.99,1.00,0.99,734400
1970-04-09,0.99,1.02,1.02,0.99,820800
1970-04-10,1.02,1.01,1.03,1.01,3312000
1970-04-13,1.01,1.01,1.01,1.00,878400
1970-04-14,1.01,1.02,1.02,0.99,835200
1970-04-15,1.02,1.03,1.04,1.02,2217600
1970-04-16,1.03,1.02,1.03,1.02,1252800
1970-04-17,1.02,1.02,1.02,1.01,950400
1970-04-20,1.02,1.01,1.02,1.01,1425600
1970-04-21,1.01,1.01,1.02,1.01,518400
1970-04-22,1.01,1.00,1.01,1.00,561600
1970-04-23,1.00,0.97,1.00,0.97,763200
1970-04-24,0.97,0.97,0.97,0.97,792000
1970-04-27,0.97,0.96,0.97,0.95,705600
1970-04-28,0.96,0.95,0.96,0.95,676800
1970-04-29,0.95,0.99,0.99,0.93,2534400
1970-04-30,0.99,0.99,1.01,0.99,532800
1970-05-01,0.99,0.99,0.99,0.99,316800
1970-05-04,0.98,0.96,0.98,0.96,576000
1970-05-05,0.95,0.95,0.95,0.95,950400
1970-05-06,0.95,0.96,0.96,0.95,1166400
1970-05-07,0.97,0.98,0.98,0.97,1137600
1970-05-08,0.98,0.96,0.98,0.95,921600
1970-05-11,0.95,0.94,0.95,0.94,705600
1970-05-12,0.94,0.94,0.96,0.94,763200
1970-05-13,0.94,0.94,0.94,0.94,360000
1970-05-14,0.94,0.93,0.94,0.92,1094400
1970-05-15,0.94,0.97,0.97,0.94,676800
1970-05-18,1.01,0.98,1.01,0.98,561600
1970-05-19,0.98,0.93,0.99,0.93,657600
1970-05-20,0.93,0.92,0.94,0.92,542400
1970-05-21,0.91,0.89,0.91,0.87,1881600
1970-05-22,0.89,0.88,0.90,0.85,777600
1970-05-25,0.88,0.82,0.88,0.82,1718400
1970-05-26,0.82,0.78,0.82,0.78,1536000
1970-05-27,0.80,0.84,0.84,0.80,2001600
1970-05-28,0.84,0.85,0.86,0.83,3168000
1970-05-29,0.85,0.91,0.91,0.84,1872000
1970-06-01,0.91,0.94,0.94,0.90,1555200
1970-06-02,0.94,0.93,0.95,0.91,1190400
1970-06-03,0.93,0.97,0.97,0.92,1185600
1970-06-04,0.97,0.96,1.00,0.96,1948800
1970-06-05,0.96,0.93,0.96,0.93,796800
1970-06-08,0.93,0.94,0.95,0.91,523200
1970-06-09,0.94,0.94,0.95,0.92,652800
1970-06-10,0.94,0.93,0.96,0.93,744000
1970-06-11,0.93,0.95,0.96,0.93,628800
1970-06-12,0.95,0.95,0.96,0.94,696000
1970-06-15,0.95,0.97,0.97,0.95,374400
1970-06-16,0.98,1.04,1.06,0.98,912000
1970-06-17,1.04,1.02,1.04,1.01,974400
1970-06-18,1.02,1.04,1.04,1.01,556800
1970-06-19,1.04,1.02,1.06,1.02,1238400
1970-06-22,1.02,1.02,1.04,0.98,393600
1970-06-23,1.01,0.98,1.01,0.98,715200
1970-06-24,0.98,0.97,0.98,0.96,532800
1970-06-25,0.97,0.97,1.00,0.97,388800
1970-06-26,0.97,0.96,0.97,0.94,484800
1970-06-29,0.96,0.96,0.97,0.94,283200
1970-06-30,0.96,0.97,0.99,0.96,417600
1970-07-01,0.97,0.97,0.97,0.96,921600
1970-07-02,0.97,0.96,0.98,0.96,216000
1970-07-06,0.96,0.97,0.99,0.96,672000
1970-07-07,0.97,0.94,0.98,0.94,916800
1970-07-08,0.94,0.97,0.97,0.93,408000
1970-07-09,0.97,0.98,1.00,0.97,427200
1970-07-10,0.98,1.00,1.01,0.98,336000
1970-07-13,1.00,0.99,1.02,0.99,403200
1970-07-14,0.99,0.99,1.00,0.98,552000
1970-07-15,0.99,1.00,1.01,0.99,912000
1970-07-16,1.00,0.99,1.01,0.99,763200
1970-07-17,1.01,1.03,1.03,1.01,849600
1970-07-20,1.03,1.04,1.05,1.03,1224000
1970-07-21,1.04,1.04,1.05,1.04,1800000
1970-07-22,1.04,1.03,1.04,1.03,1872000
1970-07-23,1.03,1.03,1.05,1.02,1804800
1970-07-24,1.02,1.01,1.02,1.01,667200
1970-07-27,1.01,0.98,1.01,0.98,436800
1970-07-28,0.99,1.01,1.02,0.99,772800
1970-07-29,1.02,1.03,1.04,1.02,326400
1970-07-30,1.03,1.03,1.04,1.02,542400
1970-07-31,1.03,1.03,1.04,1.03,484800
1970-08-03,1.03,1.01,1.03,0.99,816000
1970-08-04,1.01,1.00,1.01,0.99,542400
1970-08-05,1.00,0.99,1.01,0.98,633600
1970-08-06,0.99,0.99,1.00,0.99,470400
1970-08-07,0.99,0.99,1.00,0.98,811200
1970-08-10,0.98,0.95,0.98,0.95,672000
1970-08-11,0.95,0.94,0.95,0.94,849600
1970-08-12,0.95,0.95,0.96,0.95,288000
1970-08-13,0.95,0.92,0.95,0.91,1833600
1970-08-14,0.91,0.90,0.91,0.90,998400
1970-08-17,0.90,0.91,0.91,0.89,1108800
1970-08-18,0.94,0.94,0.96,0.94,753600
1970-08-19,0.94,0.94,0.96,0.94,624000
1970-08-20,0.94,0.95,0.96,0.93,816000
1970-08-21,0.95,0.99,1.00,0.95,1118400
1970-08-24,1.01,1.02,1.03,1.01,1036800
1970-08-25,1.02,1.03,1.03,1.01,508800
1970-08-26,1.03,1.01,1.03,1.01,220800
1970-08-27,1.01,1.01,1.02,1.01,369600
1970-08-28,1.01,1.02,1.02,0.99,1012800
1970-08-31,1.02,1.01,1.03,1.01,283200
1970-09-01,1.02,1.03,1.03,1.02,446400
1970-09-02,1.03,1.01,1.03,1.01,681600
1970-09-03,1.01,1.05,1.07,1.01,1219200
1970-09-04,1.05,1.07,1.07,1.05,840000
1970-09-08,1.07,1.09,1.09,1.06,672000
1970-09-09,1.10,1.11,1.13,1.10,873600
1970-09-10,1.10,1.10,1.10,1.07,777600
1970-09-11,1.10,1.09,1.10,1.08,336000
1970-09-14,1.09,1.09,1.10,1.07,820800
1970-09-15,1.08,1.05,1.08,1.05,609600
1970-09-16,1.05,1.08,1.09,1.05,1046400
1970-09-17,1.08,1.09,1.10,1.07,729600
1970-09-18,1.09,1.10,1.10,1.09,427200
1970-09-21,1.10,1.08,1.10,1.08,374400
1970-09-22,1.07,1.07,1.07,1.04,974400
1970-09-23,1.07,1.07,1.10,1.07,532800
1970-09-24,1.07,1.09,1.10,1.07,816000
1970-09-25,1.10,1.11,1.12,1.10,1060800
1970-09-28,1.11,1.08,1.11,1.07,1387200
