Date,Open,Close,High,Low,Volume
1972-06-01,7.92,7.92,7.92,7.92,0
1972-06-02,7.92,7.92,7.92,7.92,0
1972-06-05,7.90,7.90,7.90,7.90,0
1972-06-06,7.88,7.88,7.88,7.88,0
1972-06-07,7.80,7.80,7.80,7.80,0
1972-06-08,7.90,7.90,7.90,7.90,0
1972-06-09,7.80,7.80,7.80,7.80,0
1972-06-12,7.73,7.73,7.73,7.73,0
1972-06-13,7.68,7.68,7.68,7.68,0
1972-06-14,7.63,7.63,7.63,7.63,0
1972-06-15,7.73,7.73,7.73,7.73,0
1972-06-16,7.66,7.66,7.66,7.66,0
1972-06-19,7.44,7.44,7.44,7.44,0
1972-06-20,7.44,7.44,7.44,7.44,0
1972-06-21,7.47,7.47,7.47,7.47,0
1972-06-22,7.51,7.51,7.51,7.51,0
1972-06-23,7.54,7.54,7.54,7.54,0
1972-06-26,7.40,7.40,7.40,7.40,0
1972-06-27,7.38,7.38,7.38,7.38,0
1972-06-28,7.38,7.38,7.38,7.38,0
1972-06-29,7.27,7.27,7.27,7.27,0
1972-06-30,7.33,7.33,7.33,7.33,0
1972-07-03,7.31,7.31,7.31,7.31,0
1972-07-04,7.31,7.31,7.31,7.31,0
1972-07-05,7.33,7.33,7.33,7.33,0
1972-07-06,7.38,7.38,7.38,7.38,0
1972-07-07,7.36,7.36,7.36,7.36,0
1972-07-10,7.33,7.33,7.33,7.33,0
1972-07-11,7.31,7.31,7.31,7.31,0
1972-07-12,7.33,7.33,7.33,7.33,0
1972-07-13,7.33,7.33,7.33,7.33,0
1972-07-14,7.31,7.31,7.31,7.31,0
1972-07-17,7.27,7.27,7.27,7.27,0
1972-07-18,7.27,7.27,7.27,7.27,0
1972-07-19,7.31,7.31,7.31,7.31,0
1972-07-20,7.36,7.36,7.36,7.36,0
1972-07-21,7.44,7.44,7.44,7.44,0
1972-07-24,7.36,7.36,7.36,7.36,0
1972-07-25,7.33,7.33,7.33,7.33,0
1972-07-26,7.33,7.33,7.33,7.33,0
1972-07-27,7.23,7.23,7.23,7.23,0
