Date,Open,Close,High,Low,Volume
1972-06-01,2.03,2.03,2.03,2.03,0
1972-06-02,2.00,2.00,2.00,2.00,0
1972-06-05,1.99,1.99,1.99,1.99,0
1972-06-06,1.97,1.97,1.97,1.97,0
1972-06-07,1.97,1.97,1.97,1.97,0
1972-06-08,1.98,1.98,1.98,1.98,0
1972-06-09,1.98,1.98,1.98,1.98,0
1972-06-12,1.95,1.95,1.95,1.95,0
1972-06-13,1.94,1.94,1.94,1.94,0
1972-06-14,1.96,1.96,1.96,1.96,0
1972-06-15,1.97,1.97,1.97,1.97,0
1972-06-16,1.96,1.96,1.96,1.96,0
1972-06-19,1.96,1.96,1.96,1.96,0
1972-06-20,2.00,2.00,2.00,2.00,0
1972-06-21,2.04,2.04,2.04,2.04,0
1972-06-22,2.03,2.03,2.03,2.03,0
1972-06-23,2.03,2.03,2.03,2.03,0
1972-06-26,2.05,2.05,2.05,2.05,0
1972-06-27,2.07,2.07,2.07,2.07,0
1972-06-28,2.13,2.13,2.13,2.13,0
1972-06-29,2.17,2.17,2.17,2.17,0
1972-06-30,2.16,2.16,2.16,2.16,0
1972-07-03,2.15,2.15,2.15,2.15,0
1972-07-04,2.15,2.15,2.15,2.15,0
1972-07-05,2.24,2.24,2.24,2.24,0
1972-07-06,2.27,2.27,2.27,2.27,0
1972-07-07,2.30,2.30,2.30,2.30,0
1972-07-10,2.27,2.27,2.27,2.27,0
1972-07-11,2.24,2.24,2.24,2.24,0
1972-07-12,2.22,2.22,2.22,2.22,0
1972-07-13,2.15,2.15,2.15,2.15,0
1972-07-14,2.19,2.19,2.19,2.19,0
1972-07-17,2.16,2.16,2.16,2.16,0
1972-07-18,2.17,2.17,2.17,2.17,0
1972-07-19,2.15,2.15,2.15,2.15,0
1972-07-20,2.14,2.14,2.14,2.14,0
1972-07-21,2.15,2.15,2.15,2.15,0
1972-07-24,2.16,2.16,2.16,2.16,0
1972-07-25,2.19,2.19,2.19,2.19,0
1972-07-26,2.28,2.28,2.28,2.28,0
1972-07-27,2.29,2.29,2.29,2.29,0
1972-07-28,2.34,2.34,2.34,2.34,0
1972-07-31,2.35,2.35,2.35,2.35,0
1972-08-01,2.35,2.35,2.35,2.35,0
1972-08-02,2.35,2.35,2.35,2.35,0
1972-08-03,2.38,2.38,2.38,2.38,0
1972-08-04,2.42,2.42,2.42,2.42,0
1972-08-07,2.40,2.40,2.40,2.40,0
1972-08-08,2.36,2.36,2.36,2.36,0
1972-08-09,2.36,2.36,2.36,2.36,0
1972-08-10,2.34,2.34,2.34,2.34,0
1972-08-11,2.34,2.34,2.34,2.34,0
1972-08-14,2.36,2.36,2.36,2.36,0
1972-08-15,2.36,2.36,2.36,2.36,0
1972-08-16,2.34,2.34,2.34,2.34,0
1972-08-17,2.32,2.32,2.32,2.32,0
1972-08-18,2.32,2.32,2.32,2.32,0
1972-08-21,2.27,2.27,2.27,2.27,0
1972-08-22,2.26,2.26,2.26,2.26,0
1972-08-23,2.28,2.28,2.28,2.28,0
1972-08-24,2.28,2.28,2.28,2.28,0
1972-08-25,2.23,2.23,2.23,2.23,0
1972-08-28,2.16,2.16,2.16,2.16,0
1972-08-29,2.18,2.18,2.18,2.18,0
1972-08-30,2.22,2.22,2.22,2.22,0
1972-08-31,2.27,2.27,2.27,2.27,0
1972-09-01,2.27,2.27,2.27,2.27,0
1972-09-04,2.27,2.27,2.27,2.27,0
1972-09-05,2.28,2.28,2.28,2.28,0
1972-09-06,2.27,2.27,2.27,2.27,0
1972-09-07,2.29,2.29,2.29,2.29,0
1972-09-08,2.30,2.30,2.30,2.30,0
1972-09-11,2.27,2.27,2.27,2.27,0
1972-09-12,2.25,2.25,2.25,2.25,0
1972-09-13,2.25,2.25,2.25,2.25,0
1972-09-14,2.26,2.26,2.26,2.26,0
1972-09-15,2.24,2.24,2.24,2.24,0
1972-09-18,2.26,2.26,2.26,2.26,0
1972-09-19,2.26,2.26,2.26,2.26,0
1972-09-20,2.25,2.25,2.25,2.25,0
1972-09-21,2.25,2.25,2.25,2.25,0
1972-09-22,2.24,2.24,2.24,2.24,0
1972-09-25,2.22,2.22,2.22,2.22,0
1972-09-26,2.22,2.22,2.22,2.22,0
1972-09-27,2.23,2.23,2.23,2.23,0
1972-09-28,2.25,2.25,2.25,2.25,0
1972-09-29,2.28,2.28,2.28,2.28,0
1972-10-02,2.24,2.24,2.24,2.24,0
1972-10-03,2.28,2.28,2.28,2.28,0
1972-10-04,2.30,2.30,2.30,2.30,0
1972-10-05,2.24,2.24,2.24,2.24,0
1972-10-06,2.28,2.28,2.28,2.28,0
1972-10-09,2.25,2.25,2.25,2.25,0
1972-10-10,2.26,2.26,2.26,2.26,0
1972-10-11,2.25,2.25,2.25,2.25,0
1972-10-12,2.27,2.27,2.27,2.27,0
1972-10-13,2.26,2.26,2.26,2.26,0
1972-10-16,2.25,2.25,2.25,2.25,0
1972-10-17,2.26,2.26,2.26,2.26,0
1972-10-18,2.27,2.27,2.27,2.27,0
1972-10-19,2.26,2.26,2.26,2.26,0
1972-10-20,2.28,2.28,2.28,2.28,0
1972-10-23,2.27,2.27,2.27,2.27,0
1972-10-24,2.30,2.30,2.30,2.30,0
1972-10-25,2.29,2.29,2.29,2.29,0
1972-10-26,2.30,2.30,2.30,2.30,0
1972-10-27,2.30,2.30,2.30,2.30,0
1972-10-30,2.31,2.31,2.31,2.31,0
1972-10-31,2.38,2.38,2.38,2.38,0
1972-11-01,2.42,2.42,2.42,2.42,0
1972-11-02,2.46,2.46,2.46,2.46,0
1972-11-03,2.49,2.49,2.49,2.49,0
1972-11-06,2.45,2.45,2.45,2.45,0
1972-11-07,2.45,2.45,2.45,2.45,0
1972-11-08,2.44,2.44,2.44,2.44,0
1972-11-09,2.46,2.46,2.46,2.46,0
1972-11-10,2.43,2.43,2.43,2.43,0
1972-11-13,2.39,2.39,2.39,2.39,0
1972-11-14,2.38,2.38,2.38,2.38,0
1972-11-15,2.42,2.42,2.42,2.42,0
1972-11-16,2.39,2.39,2.39,2.39,0
1972-11-17,2.39,2.39,2.39,2.39,0
1972-11-20,2.38,2.38,2.38,2.38,0
1972-11-21,2.38,2.38,2.38,2.38,0
1972-11-22,2.39,2.39,2.39,2.39,0
1972-11-23,2.39,2.39,2.39,2.39,0
1972-11-24,2.39,2.39,2.39,2.39,0
1972-11-27,2.36,2.36,2.36,2.36,0
1972-11-28,2.36,2.36,2.36,2.36,0
1972-11-29,2.35,2.35,2.35,2.35,0
1972-11-30,2.36,2.36,2.36,2.36,0
1972-12-01,2.40,2.40,2.40,2.40,0
1972-12-04,2.42,2.42,2.42,2.42,0
1972-12-05,2.43,2.43,2.43,2.43,0
1972-12-06,2.45,2.45,2.45,2.45,0
1972-12-07,2.47,2.47,2.47,2.47,0
1972-12-08,2.48,2.48,2.48,2.48,0
1972-12-11,2.45,2.45,2.45,2.45,0
1972-12-12,2.45,2.45,2.45,2.45,0
1972-12-13,2.48,2.48,2.48,2.48,0
1972-12-14,2.48,2.48,2.48,2.48,0
1972-12-15,2.48,2.48,2.48,2.48,0
1972-12-18,2.48,2.48,2.48,2.48,0
1972-12-19,2.48,2.48,2.48,2.48,0
1972-12-20,2.47,2.47,2.47,2.47,0
1972-12-21,2.42,2.42,2.42,2.42,0
1972-12-22,2.44,2.44,2.44,2.44,0
1972-12-25,2.44,2.44,2.44,2.44,0
1972-12-26,2.46,2.46,2.46,2.46,0
1972-12-27,2.46,2.46,2.46,2.46,0
1972-12-29,2.48,2.48,2.48,2.48,0
1973-01-01,2.48,2.48,2.48,2.48,0
1973-01-02,2.51,2.51,2.51,2.51,0
1973-01-03,2.54,2.54,2.54,2.54,0
1973-01-04,2.55,2.55,2.55,2.55,0
1973-01-05,2.60,2.60,2.60,2.60,0
1973-01-08,2.62,2.62,2.62,2.62,0
1973-01-09,2.63,2.63,2.63,2.63,0
1973-01-10,2.68,2.68,2.68,2.68,0
1973-01-11,2.73,2.73,2.73,2.73,0
1973-01-12,2.68,2.68,2.68,2.68,0
1973-01-15,2.64,2.64,2.64,2.64,0
1973-01-16,2.63,2.63,2.63,2.63,0
1973-01-17,2.65,2.65,2.65,2.65,0
1973-01-18,2.66,2.66,2.66,2.66,0
1973-01-19,2.70,2.70,2.70,2.70,0
1973-01-22,2.72,2.72,2.72,2.72,0
