Date,Open,Close,High,Low,Volume
1980-12-02,0.18,0.18,0.18,0.18,786800
1980-12-03,0.18,0.18,0.18,0.18,196700
1980-12-04,0.18,0.18,0.18,0.18,177300
1980-12-05,0.17,0.17,0.18,0.17,59300
1980-12-08,0.16,0.16,0.16,0.16,42300
1980-12-09,0.16,0.16,0.16,0.16,45500
1980-12-10,0.15,0.15,0.15,0.15,45900
1980-12-11,0.14,0.14,0.14,0.14,42500
1980-12-12,0.15,0.15,0.15,0.15,63700
1980-12-15,0.15,0.15,0.15,0.15,51900
1980-12-16,0.15,0.15,0.15,0.15,51800
1980-12-17,0.14,0.14,0.15,0.14,36500
1980-12-18,0.15,0.15,0.15,0.15,87900
1980-12-19,0.15,0.15,0.15,0.15,78400
1980-12-22,0.15,0.15,0.16,0.15,14500
1980-12-23,0.16,0.16,0.16,0.16,44500
1980-12-24,0.16,0.16,0.17,0.16,19100
1980-12-26,0.16,0.16,0.17,0.16,11400
1980-12-29,0.16,0.16,0.17,0.16,13600
1980-12-30,0.17,0.17,0.17,0.17,34100
1980-12-31,0.16,0.16,0.17,0.16,22800
1981-01-02,0.17,0.17,0.17,0.17,12300
1981-01-05,0.17,0.17,0.18,0.17,45500
1981-01-06,0.18,0.18,0.18,0.18,54300
1981-01-07,0.17,0.17,0.17,0.17,68800
1981-01-08,0.16,0.16,0.16,0.16,25800
1981-01-09,0.16,0.16,0.16,0.16,19300
1981-01-12,0.16,0.16,0.17,0.16,26200
1981-01-13,0.17,0.17,0.17,0.17,34900
1981-01-14,0.17,0.17,0.18,0.17,61900
1981-01-15,0.17,0.17,0.17,0.17,19700
1981-01-16,0.17,0.17,0.18,0.17,26000
1981-01-19,0.17,0.17,0.17,0.17,31500
1981-01-20,0.17,0.17,0.17,0.17,27400
1981-01-21,0.16,0.16,0.17,0.16,7700
1981-01-22,0.16,0.16,0.16,0.16,10300
1981-01-23,0.16,0.16,0.16,0.16,10800
1981-01-26,0.16,0.16,0.16,0.16,8800
1981-01-27,0.16,0.16,0.16,0.16,6700
1981-01-28,0.16,0.16,0.16,0.16,9100
1981-01-29,0.16,0.16,0.16,0.16,19700
1981-01-30,0.15,0.15,0.15,0.15,6500
1981-02-02,0.15,0.15,0.15,0.15,16100
1981-02-03,0.15,0.15,0.15,0.15,8900
1981-02-04,0.15,0.15,0.15,0.15,16100
1981-02-05,0.15,0.15,0.15,0.15,30300
1981-02-06,0.15,0.15,0.15,0.15,9500
1981-02-09,0.15,0.15,0.15,0.15,8900
1981-02-10,0.15,0.15,0.15,0.15,17000
1981-02-11,0.14,0.14,0.15,0.14,9800
1981-02-12,0.14,0.14,0.15,0.14,1700
1981-02-13,0.14,0.14,0.15,0.14,7200
1981-02-17,0.14,0.14,0.14,0.14,6300
1981-02-18,0.14,0.14,0.15,0.14,17200
1981-02-19,0.15,0.15,0.15,0.15,14700
1981-02-20,0.15,0.15,0.15,0.15,12000
1981-02-23,0.15,0.15,0.15,0.15,4200
1981-02-24,0.15,0.15,0.15,0.15,15700
1981-02-25,0.15,0.15,0.15,0.15,4200
1981-02-26,0.15,0.15,0.15,0.15,6600
1981-02-27,0.15,0.15,0.16,0.15,5900
1981-03-02,0.15,0.15,0.16,0.15,7000
1981-03-03,0.15,0.15,0.16,0.15,29700
1981-03-04,0.15,0.15,0.16,0.15,19600
1981-03-05,0.15,0.15,0.16,0.15,5400
1981-03-06,0.15,0.15,0.15,0.15,12800
1981-03-09,0.15,0.15,0.15,0.15,7600
1981-03-10,0.14,0.14,0.14,0.14,11200
1981-03-11,0.14,0.14,0.14,0.14,14300
1981-03-12,0.14,0.14,0.14,0.14,30500
1981-03-13,0.14,0.14,0.15,0.14,5700
1981-03-16,0.14,0.14,0.14,0.14,7200
1981-03-17,0.14,0.14,0.14,0.14,6500
1981-03-18,0.14,0.14,0.14,0.14,15800
1981-03-19,0.13,0.13,0.14,0.13,27800
1981-03-20,0.14,0.14,0.14,0.14,13500
1981-03-23,0.14,0.14,0.14,0.14,21000
1981-03-24,0.14,0.14,0.14,0.14,25500
1981-03-25,0.14,0.14,0.14,0.14,9700
1981-03-26,0.14,0.14,0.14,0.14,26400
1981-03-27,0.14,0.14,0.14,0.14,10900
1981-03-30,0.14,0.14,0.15,0.14,24500
1981-03-31,0.15,0.15,0.15,0.15,30900
1981-04-01,0.16,0.16,0.16,0.16,23800
1981-04-02,0.16,0.16,0.16,0.16,38400
1981-04-03,0.16,0.16,0.16,0.16,10700
1981-04-06,0.16,0.16,0.16,0.16,21500
1981-04-07,0.16,0.16,0.16,0.16,11200
1981-04-08,0.16,0.16,0.16,0.16,12600
1981-04-09,0.17,0.17,0.17,0.17,44200
1981-04-10,0.17,0.17,0.17,0.17,38000
1981-04-13,0.16,0.16,0.17,0.16,64300
1981-04-14,0.16,0.16,0.16,0.16,25200
1981-04-15,0.17,0.17,0.17,0.17,25600
1981-04-16,0.17,0.17,0.18,0.17,81600
1981-04-20,0.17,0.17,0.18,0.17,63900
1981-04-21,0.17,0.17,0.18,0.17,18900
1981-04-22,0.18,0.18,0.18,0.18,34800
1981-04-23,0.18,0.18,0.18,0.18,44800
1981-04-24,0.17,0.17,0.17,0.17,19500
1981-04-27,0.17,0.17,0.17,0.17,16500
1981-04-28,0.17,0.17,0.17,0.17,11900
1981-04-29,0.16,0.16,0.17,0.16,10000
1981-04-30,0.16,0.16,0.17,0.16,7100
1981-05-01,0.16,0.16,0.16,0.16,4700
1981-05-04,0.16,0.16,0.16,0.16,25900
1981-05-05,0.16,0.16,0.16,0.16,9100
1981-05-06,0.16,0.16,0.16,0.16,5300
1981-05-07,0.16,0.16,0.17,0.16,4200
1981-05-08,0.16,0.16,0.16,0.16,3400
1981-05-11,0.16,0.16,0.16,0.16,10500
1981-05-12,0.16,0.16,0.17,0.16,13900
1981-05-13,0.16,0.16,0.17,0.16,12400
1981-05-14,0.16,0.16,0.17,0.16,6000
1981-05-15,0.16,0.16,0.16,0.16,7200
1981-05-18,0.16,0.16,0.16,0.16,28100
1981-05-19,0.16,0.16,0.16,0.16,5600
1981-05-20,0.16,0.16,0.16,0.16,13000
1981-05-21,0.16,0.16,0.17,0.16,14400
1981-05-22,0.16,0.16,0.17,0.16,4600
1981-05-26,0.16,0.16,0.17,0.16,37600
1981-05-27,0.17,0.17,0.17,0.17,30800
1981-05-28,0.18,0.18,0.18,0.18,71100
1981-05-29,0.18,0.18,0.18,0.18,28900
1981-06-01,0.18,0.18,0.19,0.18,25800
1981-06-02,0.19,0.19,0.19,0.19,45700
1981-06-03,0.18,0.18,0.19,0.18,60100
1981-06-04,0.18,0.18,0.19,0.18,22700
1981-06-05,0.19,0.19,0.19,0.19,47500
1981-06-08,0.18,0.18,0.19,0.18,14500
1981-06-09,0.18,0.18,0.19,0.18,9100
1981-06-10,0.19,0.19,0.19,0.19,19700
1981-06-11,0.19,0.19,0.19,0.19,30500
1981-06-12,0.19,0.19,0.19,0.19,67900
1981-06-15,0.19,0.19,0.19,0.19,32100
1981-06-16,0.19,0.19,0.20,0.19,130500
1981-06-17,0.19,0.19,0.19,0.19,31800
1981-06-18,0.18,0.18,0.18,0.18,54100
1981-06-19,0.18,0.18,0.19,0.18,18200
1981-06-22,0.18,0.18,0.19,0.18,13800
1981-06-23,0.19,0.19,0.19,0.19,41700
1981-06-24,0.19,0.19,0.19,0.19,12200
1981-06-25,0.19,0.19,0.19,0.19,28400
1981-06-26,0.19,0.19,0.19,0.19,23000
1981-06-29,0.19,0.19,0.19,0.19,8500
1981-06-30,0.18,0.18,0.19,0.18,8000
1981-07-01,0.18,0.18,0.19,0.18,13500
1981-07-02,0.19,0.19,0.19,0.19,8900
1981-07-06,0.18,0.18,0.19,0.18,10600
1981-07-07,0.17,0.17,0.17,0.17,11400
1981-07-08,0.17,0.17,0.17,0.17,4800
1981-07-09,0.17,0.17,0.17,0.17,11100
1981-07-10,0.17,0.17,0.17,0.17,6200
1981-07-13,0.17,0.17,0.17,0.17,14400
1981-07-14,0.17,0.17,0.17,0.17,7000
1981-07-15,0.17,0.17,0.18,0.17,4200
1981-07-16,0.17,0.17,0.18,0.17,3500
1981-07-17,0.17,0.17,0.18,0.17,1500
1981-07-20,0.17,0.17,0.17,0.17,26600
1981-07-21,0.16,0.16,0.17,0.16,6700
1981-07-22,0.16,0.16,0.16,0.16,9000
1981-07-23,0.17,0.17,0.17,0.17,20000
1981-07-24,0.17,0.17,0.17,0.17,15900
1981-07-27,0.17,0.17,0.17,0.17,11200
1981-07-28,0.17,0.17,0.18,0.17,6100
1981-07-29,0.17,0.17,0.17,0.17,14800
1981-07-30,0.17,0.17,0.17,0.17,19300
1981-07-31,0.17,0.17,0.17,0.17,4100
1981-08-03,0.16,0.16,0.17,0.16,11100
1981-08-04,0.16,0.16,0.17,0.16,8600
1981-08-05,0.16,0.16,0.16,0.16,16900
1981-08-06,0.16,0.16,0.16,0.16,10300
1981-08-07,0.15,0.15,0.16,0.15,7800
1981-08-11,0.16,0.16,0.17,0.16,9700
1981-08-12,0.16,0.16,0.17,0.16,21600
1981-08-13,0.16,0.16,0.17,0.16,4600
1981-08-14,0.16,0.16,0.17,0.16,5500
1981-08-17,0.16,0.16,0.17,0.16,17800
1981-08-18,0.15,0.15,0.16,0.15,10100
1981-08-19,0.15,0.15,0.16,0.15,6900
1981-08-20,0.15,0.15,0.16,0.15,6900
1981-08-21,0.16,0.16,0.16,0.16,4900
1981-08-24,0.15,0.15,0.15,0.15,8500
1981-08-25,0.15,0.15,0.15,0.15,2800
1981-08-26,0.15,0.15,0.15,0.15,4800
1981-08-27,0.15,0.15,0.15,0.15,30000
1981-08-28,0.15,0.15,0.15,0.15,4000
1981-08-31,0.15,0.15,0.15,0.15,8400
1981-09-01,0.15,0.15,0.15,0.15,12500
1981-09-02,0.15,0.15,0.15,0.15,8200
1981-09-03,0.15,0.15,0.15,0.15,5500
1981-09-04,0.15,0.15,0.15,0.15,9200
1981-09-08,0.14,0.14,0.15,0.14,9900
1981-09-09,0.15,0.15,0.15,0.15,1400
1981-09-10,0.15,0.15,0.15,0.15,14900
1981-09-11,0.15,0.15,0.16,0.15,5000
1981-09-14,0.16,0.16,0.16,0.16,3100
1981-09-15,0.17,0.17,0.17,0.17,23400
1981-09-16,0.16,0.16,0.16,0.16,14700
1981-09-17,0.15,0.15,0.16,0.15,12900
1981-09-18,0.15,0.15,0.16,0.15,2500
1981-09-21,0.16,0.16,0.16,0.16,7300
1981-09-22,0.15,0.15,0.16,0.15,7700
1981-09-23,0.15,0.15,0.15,0.15,14200
1981-09-24,0.15,0.15,0.15,0.15,12600
1981-09-25,0.15,0.15,0.15,0.15,18400
1981-09-28,0.14,0.14,0.15,0.14,27600
