Date,Open,Close,High,Low,Volume
1972-06-01,0.86,0.86,0.86,0.86,0
1972-06-02,0.85,0.85,0.85,0.85,0
1972-06-05,0.85,0.85,0.85,0.85,0
1972-06-06,0.86,0.86,0.86,0.86,0
1972-06-07,0.86,0.86,0.86,0.86,0
1972-06-08,0.86,0.86,0.86,0.86,0
1972-06-09,0.86,0.86,0.86,0.86,0
1972-06-12,0.87,0.87,0.87,0.87,0
1972-06-13,0.87,0.87,0.87,0.87,0
1972-06-14,0.87,0.87,0.87,0.87,0
1972-06-15,0.86,0.86,0.86,0.86,0
1972-06-16,0.88,0.88,0.88,0.88,0
1972-06-19,0.89,0.89,0.89,0.89,0
1972-06-20,0.90,0.90,0.90,0.90,0
1972-06-21,0.89,0.89,0.89,0.89,0
1972-06-22,0.89,0.89,0.89,0.89,0
1972-06-23,0.89,0.89,0.89,0.89,0
1972-06-26,0.87,0.87,0.87,0.87,0
1972-06-27,0.87,0.87,0.87,0.87,0
1972-06-28,0.87,0.87,0.87,0.87,0
1972-06-29,0.88,0.88,0.88,0.88,0
1972-06-30,0.88,0.88,0.88,0.88,0
1972-07-03,0.89,0.89,0.89,0.89,0
1972-07-04,0.89,0.89,0.89,0.89,0
1972-07-05,0.90,0.90,0.90,0.90,0
1972-07-06,0.92,0.92,0.92,0.92,0
1972-07-07,0.93,0.93,0.93,0.93,0
1972-07-10,0.93,0.93,0.93,0.93,0
1972-07-11,0.93,0.93,0.93,0.93,0
1972-07-12,0.94,0.94,0.94,0.94,0
1972-07-13,0.91,0.91,0.91,0.91,0
1972-07-14,0.93,0.93,0.93,0.93,0
1972-07-17,0.92,0.92,0.92,0.92,0
1972-07-18,0.91,0.91,0.91,0.91,0
1972-07-19,0.92,0.92,0.92,0.92,0
1972-07-20,0.91,0.91,0.91,0.91,0
1972-07-21,0.91,0.91,0.91,0.91,0
1972-07-24,0.89,0.89,0.89,0.89,0
1972-07-25,0.91,0.91,0.91,0.91,0
1972-07-26,0.90,0.90,0.90,0.90,0
1972-07-27,0.90,0.90,0.90,0.90,0
1972-07-28,0.90,0.90,0.90,0.90,0
1972-07-31,0.90,0.90,0.90,0.90,0
1972-08-01,0.91,0.91,0.91,0.91,0
1972-08-02,0.93,0.93,0.93,0.93,0
1972-08-03,0.91,0.91,0.91,0.91,0
1972-08-04,0.92,0.92,0.92,0.92,0
1972-08-07,0.92,0.92,0.92,0.92,0
1972-08-08,0.92,0.92,0.92,0.92,0
1972-08-09,0.92,0.92,0.92,0.92,0
1972-08-10,0.93,0.93,0.93,0.93,0
1972-08-11,0.95,0.95,0.95,0.95,0
1972-08-14,0.95,0.95,0.95,0.95,0
1972-08-15,0.95,0.95,0.95,0.95,0
1972-08-16,0.94,0.94,0.94,0.94,0
1972-08-17,0.95,0.95,0.95,0.95,0
1972-08-18,0.93,0.93,0.93,0.93,0
1972-08-21,0.93,0.93,0.93,0.93,0
1972-08-22,0.92,0.92,0.92,0.92,0
1972-08-23,0.92,0.92,0.92,0.92,0
1972-08-24,0.91,0.91,0.91,0.91,0
1972-08-25,0.90,0.90,0.90,0.90,0
1972-08-28,0.90,0.90,0.90,0.90,0
1972-08-29,0.90,0.90,0.90,0.90,0
1972-08-30,0.90,0.90,0.90,0.90,0
1972-08-31,0.89,0.89,0.89,0.89,0
1972-09-01,0.89,0.89,0.89,0.89,0
1972-09-04,0.89,0.89,0.89,0.89,0
1972-09-05,0.90,0.90,0.90,0.90,0
1972-09-06,0.87,0.87,0.87,0.87,0
1972-09-07,0.85,0.85,0.85,0.85,0
1972-09-08,0.86,0.86,0.86,0.86,0
1972-09-11,0.85,0.85,0.85,0.85,0
1972-09-12,0.84,0.84,0.84,0.84,0
1972-09-13,0.85,0.85,0.85,0.85,0
1972-09-14,0.84,0.84,0.84,0.84,0
1972-09-15,0.86,0.86,0.86,0.86,0
