Date,Open,Close,High,Low,Volume
1972-06-01,3.04,3.04,3.04,3.04,0
1972-06-02,3.03,3.03,3.03,3.03,0
1972-06-05,3.04,3.04,3.04,3.04,0
1972-06-06,3.09,3.09,3.09,3.09,0
1972-06-07,3.10,3.10,3.10,3.10,0
1972-06-08,3.07,3.07,3.07,3.07,0
1972-06-09,3.03,3.03,3.03,3.03,0
1972-06-12,3.03,3.03,3.03,3.03,0
1972-06-13,3.00,3.00,3.00,3.00,0
1972-06-14,3.00,3.00,3.00,3.00,0
1972-06-15,3.01,3.01,3.01,3.01,0
1972-06-16,3.00,3.00,3.00,3.00,0
1972-06-19,2.98,2.98,2.98,2.98,0
1972-06-20,3.02,3.02,3.02,3.02,0
1972-06-21,2.98,2.98,2.98,2.98,0
1972-06-22,2.99,2.99,2.99,2.99,0
1972-06-23,3.00,3.00,3.00,3.00,0
1972-06-26,3.00,3.00,3.00,3.00,0
1972-06-27,2.99,2.99,2.99,2.99,0
1972-06-28,2.94,2.94,2.94,2.94,0
1972-06-29,2.93,2.93,2.93,2.93,0
1972-06-30,2.89,2.89,2.89,2.89,0
1972-07-03,2.92,2.92,2.92,2.92,0
1972-07-04,2.92,2.92,2.92,2.92,0
1972-07-05,2.96,2.96,2.96,2.96,0
1972-07-06,3.00,3.00,3.00,3.00,0
1972-07-07,3.04,3.04,3.04,3.04,0
1972-07-10,3.02,3.02,3.02,3.02,0
1972-07-11,3.03,3.03,3.03,3.03,0
1972-07-12,3.05,3.05,3.05,3.05,0
1972-07-13,3.03,3.03,3.03,3.03,0
1972-07-14,3.02,3.02,3.02,3.02,0
1972-07-17,2.92,2.92,2.92,2.92,0
1972-07-18,2.92,2.92,2.92,2.92,0
1972-07-19,2.98,2.98,2.98,2.98,0
1972-07-20,2.93,2.93,2.93,2.93,0
1972-07-21,2.95,2.95,2.95,2.95,0
1972-07-24,2.97,2.97,2.97,2.97,0
1972-07-25,3.02,3.02,3.02,3.02,0
1972-07-26,3.04,3.04,3.04,3.04,0
1972-07-27,3.04,3.04,3.04,3.04,0
1972-07-28,3.01,3.01,3.01,3.01,0
1972-07-31,2.99,2.99,2.99,2.99,0
1972-08-01,2.98,2.98,2.98,2.98,0
1972-08-02,3.03,3.03,3.03,3.03,0
1972-08-03,3.08,3.08,3.08,3.08,0
1972-08-04,3.07,3.07,3.07,3.07,0
1972-08-07,3.08,3.08,3.08,3.08,0
1972-08-08,3.06,3.06,3.06,3.06,0
1972-08-09,3.01,3.01,3.01,3.01,0
1972-08-10,3.03,3.03,3.03,3.03,0
1972-08-11,3.06,3.06,3.06,3.06,0
1972-08-14,3.13,3.13,3.13,3.13,0
1972-08-15,3.15,3.15,3.15,3.15,0
1972-08-16,3.09,3.09,3.09,3.09,0
1972-08-17,3.06,3.06,3.06,3.06,0
1972-08-18,3.07,3.07,3.07,3.07,0
1972-08-21,3.03,3.03,3.03,3.03,0
1972-08-22,3.04,3.04,3.04,3.04,0
1972-08-23,2.97,2.97,2.97,2.97,0
1972-08-24,2.97,2.97,2.97,2.97,0
1972-08-25,2.97,2.97,2.97,2.97,0
1972-08-28,2.97,2.97,2.97,2.97,0
1972-08-29,2.99,2.99,2.99,2.99,0
1972-08-30,3.00,3.00,3.00,3.00,0
1972-08-31,3.00,3.00,3.00,3.00,0
1972-09-01,3.06,3.06,3.06,3.06,0
1972-09-04,3.06,3.06,3.06,3.06,0
1972-09-05,3.07,3.07,3.07,3.07,0
1972-09-06,3.04,3.04,3.04,3.04,0
1972-09-07,3.05,3.05,3.05,3.05,0
1972-09-08,3.04,3.04,3.04,3.04,0
1972-09-11,3.02,3.02,3.02,3.02,0
1972-09-12,2.98,2.98,2.98,2.98,0
1972-09-13,2.99,2.99,2.99,2.99,0
1972-09-14,3.02,3.02,3.02,3.02,0
1972-09-15,3.04,3.04,3.04,3.04,0
1972-09-18,3.02,3.02,3.02,3.02,0
1972-09-19,3.02,3.02,3.02,3.02,0
1972-09-20,3.02,3.02,3.02,3.02,0
1972-09-21,2.99,2.99,2.99,2.99,0
1972-09-22,3.00,3.00,3.00,3.00,0
1972-09-25,2.97,2.97,2.97,2.97,0
1972-09-26,2.99,2.99,2.99,2.99,0
1972-09-27,3.00,3.00,3.00,3.00,0
1972-09-28,3.00,3.00,3.00,3.00,0
1972-09-29,3.04,3.04,3.04,3.04,0
1972-10-02,3.07,3.07,3.07,3.07,0
1972-10-03,3.04,3.04,3.04,3.04,0
1972-10-04,3.02,3.02,3.02,3.02,0
1972-10-05,3.01,3.01,3.01,3.01,0
1972-10-06,3.03,3.03,3.03,3.03,0
1972-10-09,3.04,3.04,3.04,3.04,0
1972-10-10,3.10,3.10,3.10,3.10,0
1972-10-11,3.10,3.10,3.10,3.10,0
1972-10-12,3.05,3.05,3.05,3.05,0
1972-10-13,3.00,3.00,3.00,3.00,0
1972-10-16,3.01,3.01,3.01,3.01,0
1972-10-17,3.01,3.01,3.01,3.01,0
1972-10-18,3.05,3.05,3.05,3.05,0
1972-10-19,3.07,3.07,3.07,3.07,0
1972-10-20,3.08,3.08,3.08,3.08,0
1972-10-23,3.10,3.10,3.10,3.10,0
1972-10-24,3.06,3.06,3.06,3.06,0
1972-10-25,3.05,3.05,3.05,3.05,0
1972-10-26,3.09,3.09,3.09,3.09,0
1972-10-27,3.12,3.12,3.12,3.12,0
1972-10-30,3.17,3.17,3.17,3.17,0
1972-10-31,3.26,3.26,3.26,3.26,0
1972-11-01,3.37,3.37,3.37,3.37,0
1972-11-02,3.34,3.34,3.34,3.34,0
