Date,Open,Close,High,Low,Volume
1975-11-17,4.36,4.36,4.36,4.36,13300
1975-11-18,4.48,4.48,4.48,4.48,26700
1975-11-19,4.28,4.28,4.28,4.28,42600
1975-11-20,4.22,4.22,4.22,4.22,15300
1975-11-21,4.22,4.22,4.22,4.22,16000
1975-11-24,4.20,4.20,4.20,4.20,22100
1975-11-25,4.19,4.19,4.19,4.19,18800
1975-11-26,4.22,4.22,4.22,4.22,22300
1975-11-28,4.25,4.25,4.25,4.25,23900
1975-12-01,4.13,4.13,4.13,4.13,25600
1975-12-02,3.94,3.94,3.94,3.94,19600
1975-12-03,3.75,3.75,3.75,3.75,21600
1975-12-04,3.75,3.75,3.75,3.75,12200
1975-12-05,3.72,3.72,3.72,3.72,15700
1975-12-08,3.72,3.72,3.72,3.72,21900
1975-12-09,3.72,3.72,3.72,3.72,39700
1975-12-10,3.73,3.73,3.73,3.73,24900
1975-12-11,3.75,3.75,3.75,3.75,15600
1975-12-12,3.94,3.94,3.94,3.94,29100
1975-12-15,3.92,3.92,3.92,3.92,42700
1975-12-16,3.98,3.98,3.98,3.98,27600
1975-12-17,4.02,4.02,4.02,4.02,23200
1975-12-18,4.03,4.03,4.03,4.03,20300
1975-12-19,4.00,4.00,4.00,4.00,32700
1975-12-22,4.00,4.00,4.00,4.00,16800
1975-12-23,4.02,4.02,4.02,4.02,14900
1975-12-24,3.91,3.91,3.91,3.91,33800
1975-12-26,3.92,3.92,3.92,3.92,11700
1975-12-29,3.88,3.88,3.88,3.88,13200
1975-12-30,3.86,3.86,3.86,3.86,13500
1975-12-31,3.86,3.86,3.86,3.86,8700
1976-01-02,3.94,3.94,3.94,3.94,17900
1976-01-05,3.98,3.98,3.98,3.98,26100
1976-01-06,4.16,4.16,4.16,4.16,33200
1976-01-07,4.06,4.06,4.06,4.06,30000
1976-01-08,4.06,4.06,4.06,4.06,21300
1976-01-09,4.06,4.06,4.06,4.06,14900
1976-01-12,4.06,4.06,4.06,4.06,12200
1976-01-13,4.02,4.02,4.02,4.02,28100
1976-01-14,4.06,4.06,4.06,4.06,22500
1976-01-15,4.00,4.00,4.00,4.00,43500
1976-01-16,4.00,4.00,4.00,4.00,3600
1976-01-19,4.02,4.02,4.02,4.02,14000
1976-01-20,4.03,4.03,4.03,4.03,14800
1976-01-21,4.00,4.00,4.00,4.00,15500
1976-01-22,3.97,3.97,3.97,3.97,13200
1976-01-23,3.94,3.94,3.94,3.94,10700
1976-01-26,3.77,3.77,3.77,3.77,21100
1976-01-27,3.75,3.75,3.75,3.75,68000
1976-01-28,3.84,3.84,3.84,3.84,53000
1976-01-29,4.09,4.09,4.16,4.09,39600
1976-01-30,4.00,4.00,4.06,4.00,76100
1976-02-02,4.06,4.06,4.13,4.06,18400
1976-02-03,4.08,4.08,4.14,4.08,16700
1976-02-04,4.13,4.13,4.19,4.13,46000
1976-02-05,4.09,4.09,4.16,4.09,16200
1976-02-06,4.02,4.02,4.08,4.02,18000
1976-02-09,4.06,4.06,4.13,4.06,10700
1976-02-10,4.02,4.02,4.08,4.02,22800
1976-02-11,4.03,4.03,4.09,4.03,7200
1976-02-12,4.06,4.06,4.13,4.06,32800
1976-02-13,4.06,4.06,4.13,4.06,5100
1976-02-17,4.03,4.03,4.09,4.03,9000
1976-02-18,4.02,4.02,4.08,4.02,19900
1976-02-19,3.92,3.92,3.98,3.92,39900
1976-02-20,3.97,3.97,4.03,3.97,97000
1976-02-23,3.97,3.97,4.03,3.97,55900
1976-02-24,4.03,4.03,4.09,4.03,28700
1976-02-25,4.06,4.06,4.13,4.06,24100
1976-02-26,4.00,4.00,4.06,4.00,62100
1976-02-27,3.92,3.92,3.98,3.92,31000
1976-03-01,3.91,3.91,3.97,3.91,19000
