Date,Open,Close,High,Low,Volume
1972-06-01,1.23,1.23,1.23,1.23,0
1972-06-02,1.25,1.25,1.25,1.25,0
1972-06-05,1.25,1.25,1.25,1.25,0
1972-06-06,1.24,1.24,1.24,1.24,0
1972-06-07,1.22,1.22,1.22,1.22,0
1972-06-08,1.21,1.21,1.21,1.21,0
1972-06-09,1.20,1.20,1.20,1.20,0
1972-06-12,1.18,1.18,1.18,1.18,0
1972-06-13,1.16,1.16,1.16,1.16,0
1972-06-14,1.17,1.17,1.17,1.17,0
1972-06-15,1.18,1.18,1.18,1.18,0
1972-06-16,1.17,1.17,1.17,1.17,0
1972-06-19,1.14,1.14,1.14,1.14,0
1972-06-20,1.15,1.15,1.15,1.15,0
1972-06-21,1.18,1.18,1.18,1.18,0
1972-06-22,1.16,1.16,1.16,1.16,0
1972-06-23,1.15,1.15,1.15,1.15,0
1972-06-26,1.13,1.13,1.13,1.13,0
1972-06-27,1.12,1.12,1.12,1.12,0
1972-06-28,1.10,1.10,1.10,1.10,0
1972-06-29,1.08,1.08,1.08,1.08,0
1972-06-30,1.11,1.11,1.11,1.11,0
1972-07-03,1.12,1.12,1.12,1.12,0
1972-07-04,1.12,1.12,1.12,1.12,0
1972-07-05,1.10,1.10,1.10,1.10,0
1972-07-06,1.13,1.13,1.13,1.13,0
1972-07-07,1.09,1.09,1.09,1.09,0
1972-07-10,1.09,1.09,1.09,1.09,0
1972-07-11,1.07,1.07,1.07,1.07,0
1972-07-12,1.10,1.10,1.10,1.10,0
1972-07-13,1.06,1.06,1.06,1.06,0
1972-07-14,1.10,1.10,1.10,1.10,0
1972-07-17,1.09,1.09,1.09,1.09,0
1972-07-18,1.08,1.08,1.08,1.08,0
1972-07-19,1.11,1.11,1.11,1.11,0
1972-07-20,1.15,1.15,1.15,1.15,0
1972-07-21,1.17,1.17,1.17,1.17,0
1972-07-24,1.22,1.22,1.22,1.22,0
1972-07-25,1.19,1.19,1.19,1.19,0
1972-07-26,1.16,1.16,1.16,1.16,0
1972-07-27,1.15,1.15,1.15,1.15,0
1972-07-28,1.15,1.15,1.15,1.15,0
1972-07-31,1.22,1.22,1.22,1.22,0
1972-08-01,1.20,1.20,1.20,1.20,0
1972-08-02,1.23,1.23,1.23,1.23,0
1972-08-03,1.23,1.23,1.23,1.23,0
1972-08-04,1.23,1.23,1.23,1.23,0
1972-08-07,1.22,1.22,1.22,1.22,0
1972-08-08,1.24,1.24,1.24,1.24,0
1972-08-09,1.25,1.25,1.25,1.25,0
1972-08-10,1.23,1.23,1.23,1.23,0
1972-08-11,1.23,1.23,1.23,1.23,0
1972-08-14,1.24,1.24,1.24,1.24,0
1972-08-15,1.23,1.23,1.23,1.23,0
1972-08-16,1.20,1.20,1.20,1.20,0
1972-08-17,1.20,1.20,1.20,1.20,0
1972-08-18,1.21,1.21,1.21,1.21,0
1972-08-21,1.20,1.20,1.20,1.20,0
1972-08-22,1.19,1.19,1.19,1.19,0
1972-08-23,1.19,1.19,1.19,1.19,0
1972-08-24,1.17,1.17,1.17,1.17,0
1972-08-25,1.18,1.18,1.18,1.18,0
1972-08-28,1.18,1.18,1.18,1.18,0
1972-08-29,1.17,1.17,1.17,1.17,0
1972-08-30,1.17,1.17,1.17,1.17,0
1972-08-31,1.19,1.19,1.19,1.19,0
1972-09-01,1.21,1.21,1.21,1.21,0
1972-09-04,1.21,1.21,1.21,1.21,0
1972-09-05,1.21,1.21,1.21,1.21,0
1972-09-06,1.21,1.21,1.21,1.21,0
1972-09-07,1.23,1.23,1.23,1.23,0
1972-09-08,1.25,1.25,1.25,1.25,0
1972-09-11,1.25,1.25,1.25,1.25,0
1972-09-12,1.27,1.27,1.27,1.27,0
1972-09-13,1.30,1.30,1.30,1.30,0
1972-09-14,1.30,1.30,1.30,1.30,0
1972-09-15,1.31,1.31,1.31,1.31,0
1972-09-18,1.30,1.30,1.30,1.30,0
1972-09-19,1.31,1.31,1.31,1.31,0
1972-09-20,1.27,1.27,1.27,1.27,0
1972-09-21,1.28,1.28,1.28,1.28,0
1972-09-22,1.32,1.32,1.32,1.32,0
1972-09-25,1.32,1.32,1.32,1.32,0
1972-09-26,1.34,1.34,1.34,1.34,0
1972-09-27,1.32,1.32,1.32,1.32,0
1972-09-28,1.34,1.34,1.34,1.34,0
1972-09-29,1.34,1.34,1.34,1.34,0
1972-10-02,1.34,1.34,1.34,1.34,0
1972-10-03,1.34,1.34,1.34,1.34,0
1972-10-04,1.34,1.34,1.34,1.34,0
1972-10-05,1.29,1.29,1.29,1.29,0
1972-10-06,1.32,1.32,1.32,1.32,0
1972-10-09,1.32,1.32,1.32,1.32,0
1972-10-10,1.33,1.33,1.33,1.33,0
1972-10-11,1.33,1.33,1.33,1.33,0
1972-10-12,1.32,1.32,1.32,1.32,0
1972-10-13,1.34,1.34,1.34,1.34,0
1972-10-16,1.31,1.31,1.31,1.31,0
1972-10-17,1.31,1.31,1.31,1.31,0
1972-10-18,1.31,1.31,1.31,1.31,0
1972-10-19,1.29,1.29,1.29,1.29,0
1972-10-20,1.30,1.30,1.30,1.30,0
1972-10-23,1.32,1.32,1.32,1.32,0
1972-10-24,1.33,1.33,1.33,1.33,0
1972-10-25,1.37,1.37,1.37,1.37,0
1972-10-26,1.38,1.38,1.38,1.38,0
1972-10-27,1.39,1.39,1.39,1.39,0
1972-10-30,1.40,1.40,1.40,1.40,0
1972-10-31,1.44,1.44,1.44,1.44,0
1972-11-01,1.45,1.45,1.45,1.45,0
1972-11-02,1.45,1.45,1.45,1.45,0
1972-11-03,1.44,1.44,1.44,1.44,0
1972-11-06,1.43,1.43,1.43,1.43,0
1972-11-07,1.43,1.43,1.43,1.43,0
1972-11-08,1.46,1.46,1.46,1.46,0
1972-11-09,1.49,1.49,1.49,1.49,0
1972-11-10,1.52,1.52,1.52,1.52,0
1972-11-13,1.50,1.50,1.50,1.50,0
1972-11-14,1.48,1.48,1.48,1.48,0
1972-11-15,1.48,1.48,1.48,1.48,0
1972-11-16,1.45,1.45,1.45,1.45,0
1972-11-17,1.44,1.44,1.44,1.44,0
1972-11-20,1.45,1.45,1.45,1.45,0
1972-11-21,1.44,1.44,1.44,1.44,0
1972-11-22,1.44,1.44,1.44,1.44,0
1972-11-23,1.44,1.44,1.44,1.44,0
1972-11-24,1.44,1.44,1.44,1.44,0
1972-11-27,1.44,1.44,1.44,1.44,0
1972-11-28,1.44,1.44,1.44,1.44,0
1972-11-29,1.44,1.44,1.44,1.44,0
1972-11-30,1.48,1.48,1.48,1.48,0
1972-12-01,1.48,1.48,1.48,1.48,0
1972-12-04,1.47,1.47,1.47,1.47,0
1972-12-05,1.47,1.47,1.47,1.47,0
1972-12-06,1.48,1.48,1.48,1.48,0
1972-12-07,1.48,1.48,1.48,1.48,0
1972-12-08,1.50,1.50,1.50,1.50,0
1972-12-11,1.52,1.52,1.52,1.52,0
1972-12-12,1.52,1.52,1.52,1.52,0
1972-12-13,1.51,1.51,1.51,1.51,0
1972-12-14,1.45,1.45,1.45,1.45,0
1972-12-15,1.45,1.45,1.45,1.45,0
1972-12-18,1.44,1.44,1.44,1.44,0
1972-12-19,1.44,1.44,1.44,1.44,0
1972-12-20,1.43,1.43,1.43,1.43,0
1972-12-21,1.41,1.41,1.41,1.41,0
1972-12-22,1.42,1.42,1.42,1.42,0
1972-12-25,1.42,1.42,1.42,1.42,0
1972-12-26,1.42,1.42,1.42,1.42,0
1972-12-27,1.39,1.39,1.39,1.39,0
1972-12-29,1.39,1.39,1.39,1.39,0
1973-01-01,1.39,1.39,1.39,1.39,0
1973-01-02,1.39,1.39,1.39,1.39,0
1973-01-03,1.43,1.43,1.43,1.43,0
1973-01-04,1.43,1.43,1.43,1.43,0
1973-01-05,1.43,1.43,1.43,1.43,0
1973-01-08,1.43,1.43,1.43,1.43,0
1973-01-09,1.43,1.43,1.43,1.43,0
1973-01-10,1.39,1.39,1.39,1.39,0
1973-01-11,1.37,1.37,1.37,1.37,0
1973-01-12,1.31,1.31,1.31,1.31,0
1973-01-15,1.23,1.23,1.23,1.23,0
1973-01-16,1.24,1.24,1.24,1.24,0
1973-01-17,1.29,1.29,1.29,1.29,0
1973-01-18,1.27,1.27,1.27,1.27,0
1973-01-19,1.27,1.27,1.27,1.27,0
1973-01-22,1.27,1.27,1.27,1.27,0
1973-01-23,1.27,1.27,1.27,1.27,0
1973-01-24,1.27,1.27,1.27,1.27,0
1973-01-26,1.30,1.30,1.30,1.30,0
1973-01-29,1.30,1.30,1.30,1.30,0
1973-01-30,1.30,1.30,1.30,1.30,0
1973-01-31,1.30,1.30,1.30,1.30,0
1973-02-01,1.26,1.26,1.26,1.26,0
1973-02-02,1.26,1.26,1.26,1.26,0
1973-02-05,1.23,1.23,1.23,1.23,0
1973-02-06,1.22,1.22,1.22,1.22,0
1973-02-07,1.21,1.21,1.21,1.21,0
1973-02-08,1.20,1.20,1.20,1.20,0
1973-02-09,1.23,1.23,1.23,1.23,0
1973-02-12,1.26,1.26,1.26,1.26,0
1973-02-13,1.26,1.26,1.26,1.26,0
1973-02-14,1.23,1.23,1.23,1.23,0
1973-02-15,1.22,1.22,1.22,1.22,0
1973-02-16,1.23,1.23,1.23,1.23,0
1973-02-19,1.23,1.23,1.23,1.23,0
1973-02-20,1.25,1.25,1.25,1.25,0
1973-02-21,1.24,1.24,1.24,1.24,6200
1973-02-22,1.22,1.22,1.22,1.22,6700
1973-02-23,1.20,1.20,1.20,1.20,5300
1973-02-26,1.20,1.20,1.20,1.20,4800
1973-02-27,1.20,1.20,1.20,1.20,10600
1973-02-28,1.20,1.20,1.20,1.20,3000
1973-03-01,1.20,1.20,1.20,1.20,7600
1973-03-02,1.21,1.21,1.21,1.21,2700
1973-03-05,1.24,1.24,1.24,1.24,3900
1973-03-06,1.25,1.25,1.25,1.25,4700
1973-03-07,1.26,1.26,1.26,1.26,7200
1973-03-08,1.24,1.24,1.24,1.24,7200
1973-03-09,1.21,1.21,1.21,1.21,6900
1973-03-12,1.21,1.21,1.21,1.21,3000
1973-03-13,1.21,1.21,1.21,1.21,3500
1973-03-14,1.20,1.20,1.20,1.20,1200
1973-03-15,1.19,1.19,1.19,1.19,5500
1973-03-16,1.16,1.16,1.16,1.16,15900
1973-03-19,1.14,1.14,1.14,1.14,2800
1973-03-20,1.13,1.13,1.13,1.13,20300
1973-03-21,1.12,1.12,1.12,1.12,14200
1973-03-22,1.11,1.11,1.11,1.11,19100
1973-03-23,1.14,1.14,1.14,1.14,11900
1973-03-26,1.14,1.14,1.14,1.14,2500
1973-03-27,1.15,1.15,1.15,1.15,2700
1973-03-28,1.14,1.14,1.14,1.14,13600
1973-03-29,1.14,1.14,1.14,1.14,4200
1973-03-30,1.13,1.13,1.13,1.13,13500
1973-04-02,1.12,1.12,1.12,1.12,11300
1973-04-03,1.09,1.09,1.09,1.09,3700
1973-04-04,1.09,1.09,1.09,1.09,1400
1973-04-05,1.10,1.10,1.10,1.10,24700
1973-04-06,1.09,1.09,1.09,1.09,2300
1973-04-09,1.11,1.11,1.11,1.11,3700
1973-04-10,1.11,1.11,1.11,1.11,10500
1973-04-11,1.13,1.13,1.13,1.13,5800
1973-04-12,1.15,1.15,1.15,1.15,5400
1973-04-13,1.13,1.13,1.13,1.13,4900
1973-04-16,1.15,1.15,1.15,1.15,16000
1973-04-17,1.15,1.15,1.15,1.15,2800
1973-04-18,1.19,1.19,1.19,1.19,6000
1973-04-19,1.22,1.22,1.22,1.22,10200
1973-04-23,1.24,1.24,1.24,1.24,5200
1973-04-24,1.22,1.22,1.22,1.22,3200
1973-04-25,1.16,1.16,1.16,1.16,25300
1973-04-26,1.15,1.15,1.15,1.15,12200
1973-04-27,1.13,1.13,1.13,1.13,5300
1973-04-30,1.12,1.12,1.12,1.12,14300
1973-05-01,1.13,1.13,1.13,1.13,4300
1973-05-02,1.14,1.14,1.14,1.14,8000
1973-05-03,1.16,1.16,1.17,1.14,2700
1973-05-04,1.20,1.20,1.22,1.16,9300
1973-05-07,1.17,1.17,1.19,1.17,11000
1973-05-08,1.17,1.17,1.19,1.17,23400
1973-05-09,1.20,1.20,1.20,1.18,2900
1973-05-10,1.19,1.19,1.19,1.19,4900
1973-05-11,1.21,1.21,1.21,1.20,12700
1973-05-14,1.19,1.19,1.21,1.19,12900
1973-05-15,1.19,1.19,1.19,1.17,2800
1973-05-16,1.19,1.19,1.20,1.19,9000
1973-05-17,1.19,1.19,1.19,1.18,1500
1973-05-18,1.15,1.15,1.19,1.15,13500
1973-05-21,1.13,1.13,1.15,1.13,18000
1973-05-22,1.15,1.15,1.16,1.14,11500
1973-05-23,1.15,1.15,1.17,1.15,6400
1973-05-24,1.19,1.19,1.19,1.14,2300
1973-05-25,1.18,1.18,1.20,1.18,59600
1973-05-29,1.13,1.13,1.18,1.13,8000
1973-05-30,1.11,1.11,1.13,1.11,7500
1973-05-31,1.12,1.12,1.13,1.11,3800
1973-06-01,1.09,1.09,1.11,1.09,4300
1973-06-04,1.04,1.04,1.08,1.04,8000
1973-06-05,1.02,1.02,1.04,1.02,3000
1973-06-06,0.99,0.99,1.03,0.98,2900
1973-06-07,0.98,0.98,1.00,0.98,4700
1973-06-08,0.99,0.99,1.00,0.96,11500
1973-06-11,0.98,0.98,1.00,0.98,2100
1973-06-12,0.98,0.98,0.98,0.97,5700
1973-06-13,0.97,0.97,0.98,0.97,6300
1973-06-14,0.96,0.96,0.98,0.96,8900
1973-06-15,0.96,0.96,0.98,0.96,800
1973-06-18,0.88,0.88,0.95,0.88,10200
1973-06-19,0.91,0.91,0.94,0.89,20400
1973-06-20,0.89,0.89,0.91,0.88,13400
1973-06-21,0.88,0.88,0.89,0.88,7100
1973-06-22,0.88,0.88,0.92,0.83,36600
1973-06-25,0.86,0.86,0.88,0.84,8300
1973-06-26,0.90,0.90,0.90,0.86,2400
1973-06-27,0.90,0.90,0.92,0.88,3600
1973-06-28,0.89,0.89,0.89,0.88,4300
1973-06-29,0.86,0.86,0.88,0.86,3800
1973-07-02,0.84,0.84,0.88,0.84,8800
