Date,Open,Close,High,Low,Volume
2008-03-19,15.30,14.13,17.25,13.75,177121472
2008-03-20,14.60,16.09,16.25,14.38,49746236
2008-03-24,16.81,14.93,16.93,14.75,37423744
2008-03-25,15.15,15.81,16.06,14.96,21791298
2008-03-26,15.68,15.99,16.12,15.39,10784854
2008-03-27,16.01,15.73,16.18,15.66,9958761
2008-03-28,15.84,15.69,15.86,15.54,6174579
2008-03-31,15.65,15.59,15.87,15.51,5540062
2008-04-01,15.77,15.40,15.92,15.08,15105470
2008-04-02,15.43,15.58,15.58,15.13,10960140
2008-04-03,15.49,16.38,16.57,15.46,25203808
2008-04-04,16.23,16.12,16.33,15.94,9098811
2008-04-07,16.27,16.26,16.45,16.01,7078367
2008-04-08,16.20,17.02,17.06,16.20,13490957
2008-04-09,17.09,16.45,17.18,16.40,12084944
2008-04-10,16.54,16.53,16.68,16.28,5596283
2008-04-11,16.31,16.53,16.69,16.31,6608602
2008-04-14,16.68,16.42,16.81,16.38,7111548
2008-04-15,16.57,16.09,16.64,16.00,5975843
2008-04-16,16.14,16.54,16.74,16.14,6287187
2008-04-17,16.57,16.76,16.94,16.50,5615554
2008-04-18,17.00,17.25,17.61,16.80,26030744
2008-04-21,17.37,17.74,18.13,17.21,14721301
2008-04-22,17.98,17.57,18.10,17.50,11844560
2008-04-23,17.74,17.52,17.93,17.42,9334153
2008-04-24,17.80,18.08,18.25,17.51,9770604
2008-04-25,19.00,18.77,19.02,18.48,25364988
2008-04-28,19.13,18.91,19.32,18.73,33129322
2008-04-29,18.54,20.22,20.22,17.75,49327032
2008-04-30,20.35,20.86,21.20,20.27,36885816
2008-05-01,21.10,21.35,21.91,20.98,29098836
2008-05-02,21.82,20.69,21.88,20.25,34162124
2008-05-05,20.71,21.27,21.38,20.20,17594234
2008-05-06,21.37,21.88,22.04,21.19,18978236
2008-05-07,22.21,22.13,22.46,21.92,25116124
2008-05-08,22.38,21.75,22.44,21.49,23216674
2008-05-09,21.45,20.72,21.67,20.63,23577948
2008-05-12,20.91,20.48,21.12,19.52,36876480
2008-05-13,20.46,20.60,20.88,20.20,13317832
2008-05-14,20.83,20.56,21.09,20.36,12850077
2008-05-15,20.63,20.56,20.73,20.28,9182059
2008-05-16,20.68,20.59,20.71,20.32,8516633
2008-05-19,20.57,20.83,21.19,20.54,11412820
2008-05-20,20.72,20.69,20.96,20.48,10176585
2008-05-21,20.67,20.21,20.86,20.13,10457818
2008-05-22,20.14,19.33,20.15,19.04,21329340
2008-05-23,18.96,19.09,19.33,18.78,10555933
2008-05-27,19.23,19.68,19.74,18.59,15703674
2008-05-28,20.07,20.48,20.49,19.89,13258672
2008-05-29,20.86,21.31,21.74,20.75,25153256
2008-05-30,21.51,21.59,21.89,21.45,18012046
2008-06-02,21.55,21.52,21.74,21.15,9213955
2008-06-03,21.75,21.89,21.99,21.51,12121063
2008-06-04,21.77,21.37,22.03,21.32,10176128
2008-06-05,21.62,21.81,21.81,21.40,6764868
2008-06-06,21.48,20.91,21.50,20.89,10442944
2008-06-09,21.00,20.54,21.24,20.14,11309911
2008-06-10,20.08,20.08,20.72,19.90,9021514
2008-06-11,20.25,19.43,20.25,19.40,14259070
2008-06-12,19.74,19.89,20.19,19.64,11151319
2008-06-13,20.07,20.38,20.45,20.04,7679436
2008-06-16,20.37,20.82,20.88,20.27,8601706
2008-06-17,21.03,21.17,21.25,20.92,8322483
2008-06-18,20.93,20.97,21.18,20.86,8439424
2008-06-19,20.87,21.07,21.10,20.41,9233412
2008-06-20,20.74,20.89,21.13,20.69,10646181
2008-06-23,20.96,20.27,21.09,20.26,7542506
2008-06-24,20.02,20.67,20.74,19.63,12477092
2008-06-25,20.84,20.52,21.11,20.47,12681160
2008-06-26,20.15,19.77,20.18,19.51,19145922
2008-06-27,19.70,20.65,20.72,19.64,44011592
2008-06-30,20.50,20.33,20.71,20.08,12332415
