Date,Open,Close,High,Low,Volume
1983-11-21,7.91,7.91,7.97,7.39,564400
1983-11-22,7.88,7.88,8.02,7.87,299800
1983-11-23,7.84,7.84,7.91,7.80,129500
1983-11-25,7.76,7.76,7.85,7.76,199200
1983-11-28,7.54,7.54,7.71,7.52,266200
1983-11-29,7.46,7.46,7.53,7.45,183300
1983-11-30,7.46,7.46,7.52,7.43,272400
1983-12-01,7.47,7.47,7.52,7.42,702500
1983-12-02,7.45,7.45,7.54,7.40,198300
1983-12-05,7.36,7.36,7.46,7.36,121900
1983-12-06,7.39,7.39,7.42,7.36,244700
1983-12-07,7.46,7.46,7.52,7.39,545900
1983-12-08,7.47,7.47,7.50,7.45,827400
1983-12-09,7.49,7.49,7.53,7.47,587100
1983-12-12,7.50,7.50,7.53,7.47,318700
1983-12-13,7.62,7.62,7.64,7.52,752400
1983-12-14,7.64,7.64,7.67,7.62,283400
1983-12-15,7.59,7.59,7.64,7.59,261200
1983-12-16,7.63,7.63,7.66,7.59,275700
1983-12-19,7.60,7.60,7.63,7.60,181100
1983-12-20,7.56,7.56,7.63,7.54,217800
1983-12-21,7.52,7.52,7.59,7.49,417600
1983-12-22,7.42,7.42,7.50,7.42,547600
1983-12-23,7.38,7.38,7.43,7.36,262900
1983-12-27,7.33,7.33,7.36,7.32,337800
1983-12-28,7.39,7.39,7.40,7.33,514900
1983-12-29,7.38,7.38,7.42,7.38,337100
1983-12-30,7.35,7.35,7.39,7.33,196200
1984-01-03,7.56,7.56,7.57,7.39,221900
1984-01-04,7.78,7.78,7.93,7.60,408400
1984-01-05,7.85,7.85,8.01,7.84,422600
1984-01-06,8.00,8.00,8.05,7.83,506800
1984-01-09,7.90,7.90,8.00,7.90,201400
1984-01-10,7.93,7.93,7.93,7.87,176700
1984-01-11,7.94,7.94,7.97,7.93,141500
1984-01-12,8.00,8.00,8.00,7.93,159800
1984-01-13,8.05,8.05,8.14,8.04,353900
1984-01-16,8.12,8.12,8.28,8.11,275300
1984-01-17,8.19,8.19,8.22,8.15,241900
1984-01-18,8.22,8.22,8.22,8.15,329300
1984-01-19,8.22,8.22,8.26,8.18,203800
1984-01-20,8.28,8.28,8.28,8.22,234800
1984-01-23,8.23,8.23,8.28,8.23,130400
1984-01-24,8.22,8.22,8.25,8.22,131900
1984-01-25,8.23,8.23,8.28,8.22,192400
1984-01-26,8.19,8.19,8.26,8.19,330700
1984-01-27,8.31,8.31,8.42,8.19,338000
1984-01-30,8.28,8.28,8.33,8.23,267400
1984-01-31,8.32,8.32,8.32,8.26,182000
1984-02-01,8.35,8.35,8.39,8.26,197400
1984-02-02,8.42,8.42,8.45,8.31,357600
1984-02-03,8.29,8.29,8.46,8.29,295900
1984-02-06,8.25,8.25,8.28,8.21,168200
1984-02-07,8.23,8.23,8.23,8.19,243500
1984-02-08,7.94,7.94,8.21,7.94,438200
1984-02-09,7.95,7.95,8.02,7.94,228800
1984-02-10,7.91,7.91,7.93,7.84,220700
1984-02-13,7.90,7.90,7.94,7.84,291100
1984-02-14,8.00,8.00,8.02,7.90,259500
1984-02-15,8.05,8.05,8.05,7.93,385800
1984-02-16,8.16,8.16,8.16,8.11,247100
1984-02-17,8.16,8.16,8.25,8.12,235200
1984-02-21,8.08,8.08,8.16,8.07,101400
1984-02-22,7.98,7.98,8.09,7.98,258800
1984-02-23,7.90,7.90,8.00,7.80,448700
1984-02-24,8.01,8.01,8.02,7.87,324100
1984-02-27,7.98,7.98,8.00,7.94,156600
1984-02-28,7.84,7.84,8.01,7.80,207300
1984-02-29,7.97,7.97,8.84,7.84,173000
1984-03-01,8.09,8.09,8.11,7.95,189600
