Date,Open,Close,High,Low,Volume
2012-01-19,59.93,60.61,60.73,59.75,9234851
2012-01-20,60.75,61.01,61.25,60.67,10382040
2012-01-23,60.81,60.91,60.98,60.51,7134026
2012-01-24,60.75,61.39,62.00,60.75,7371375
2012-01-25,61.18,61.47,61.61,61.04,5915713
2012-01-26,61.80,60.97,61.84,60.77,7436168
2012-01-27,60.86,60.71,61.12,60.54,6287253
2012-01-30,60.47,61.30,61.32,60.35,7637547
2012-01-31,61.53,61.36,61.57,60.58,9764529
2012-02-01,61.79,62.18,62.63,61.79,12131010
2012-02-02,62.40,61.94,62.47,61.82,6211353
2012-02-03,62.32,62.03,62.43,61.70,7727175
2012-02-06,61.85,61.88,61.98,61.70,5480554
2012-02-07,61.62,61.69,61.90,61.62,6093712
2012-02-08,61.91,61.62,62.02,61.23,7268649
2012-02-09,61.58,61.96,62.16,61.58,6453043
2012-02-10,61.68,61.90,61.91,61.38,5501098
2012-02-13,62.01,61.79,62.08,61.73,4174905
2012-02-14,61.91,62.22,62.24,61.79,5173275
2012-02-15,62.32,61.76,62.44,61.59,5833642
2012-02-16,61.77,62.04,62.19,61.70,7259361
2012-02-17,62.32,62.48,62.57,61.91,8192923
2012-02-21,60.33,60.07,60.50,59.67,23896168
2012-02-22,59.58,58.60,59.91,58.37,28630840
2012-02-23,58.59,58.54,58.90,58.21,14880315
2012-02-24,58.75,58.79,58.95,58.50,9925842
2012-02-27,58.70,58.46,58.78,58.29,12263756
2012-02-28,58.44,58.93,59.10,58.35,10761897
2012-02-29,58.84,59.08,59.33,58.72,11486359
2012-03-01,59.36,58.82,59.42,58.64,16285674
2012-03-02,58.99,59.01,59.28,58.80,9858283
2012-03-05,58.96,59.40,59.59,58.75,9650954
2012-03-06,59.04,58.97,59.22,58.75,9057281
2012-03-07,59.11,59.86,59.86,59.11,14916900
2012-03-08,59.84,59.77,59.95,59.45,7795776
2012-03-09,59.83,60.08,60.20,59.83,6292870
2012-03-12,60.17,60.68,60.90,60.09,7576763
2012-03-13,60.93,61.00,61.08,60.52,8734596
2012-03-14,60.84,61.08,61.15,60.69,6374963
2012-03-15,60.89,61.23,61.26,60.78,6755170
2012-03-16,61.41,60.84,61.47,60.77,12077092
2012-03-19,60.58,60.74,60.88,60.46,8251968
2012-03-20,60.33,60.60,60.86,60.29,7911521
2012-03-21,60.45,60.56,60.72,60.37,7302803
2012-03-22,60.23,60.65,60.77,60.23,5710936
2012-03-23,60.61,60.75,60.85,60.41,6957627
2012-03-26,60.90,61.20,61.32,60.76,6214728
2012-03-27,61.35,61.09,61.50,61.02,7351506
2012-03-28,61.15,61.19,61.48,60.98,7124351
2012-03-29,60.77,60.82,60.95,60.62,6691676
2012-03-30,61.07,61.20,61.42,60.92,6942445
