Date,Open,Close,High,Low,Volume
1972-06-01,2.34,2.34,2.34,2.34,0
1972-06-02,2.31,2.31,2.31,2.31,0
1972-06-05,2.25,2.25,2.25,2.25,0
1972-06-06,2.23,2.23,2.23,2.23,0
1972-06-07,2.23,2.23,2.23,2.23,0
1972-06-08,2.23,2.23,2.23,2.23,0
1972-06-09,2.22,2.22,2.22,2.22,0
1972-06-12,2.25,2.25,2.25,2.25,0
1972-06-13,2.28,2.28,2.28,2.28,0
1972-06-14,2.33,2.33,2.33,2.33,0
1972-06-15,2.31,2.31,2.31,2.31,0
1972-06-16,2.31,2.31,2.31,2.31,0
1972-06-19,2.33,2.33,2.33,2.33,0
1972-06-20,2.34,2.34,2.34,2.34,0
1972-06-21,2.35,2.35,2.35,2.35,0
1972-06-22,2.34,2.34,2.34,2.34,0
1972-06-23,2.33,2.33,2.33,2.33,0
1972-06-26,2.31,2.31,2.31,2.31,0
1972-06-27,2.30,2.30,2.30,2.30,0
1972-06-28,2.30,2.30,2.30,2.30,0
1972-06-29,2.32,2.32,2.32,2.32,0
1972-06-30,2.32,2.32,2.32,2.32,0
1972-07-03,2.32,2.32,2.32,2.32,0
1972-07-04,2.32,2.32,2.32,2.32,0
1972-07-05,2.33,2.33,2.33,2.33,0
1972-07-06,2.34,2.34,2.34,2.34,0
1972-07-07,2.33,2.33,2.33,2.33,0
1972-07-10,2.31,2.31,2.31,2.31,0
1972-07-11,2.30,2.30,2.30,2.30,0
1972-07-12,2.33,2.33,2.33,2.33,0
1972-07-13,2.33,2.33,2.33,2.33,0
1972-07-14,2.34,2.34,2.34,2.34,0
1972-07-17,2.34,2.34,2.34,2.34,0
1972-07-18,2.36,2.36,2.36,2.36,0
1972-07-19,2.35,2.35,2.35,2.35,0
1972-07-20,2.37,2.37,2.37,2.37,0
1972-07-21,2.39,2.39,2.39,2.39,0
1972-07-24,2.43,2.43,2.43,2.43,0
1972-07-25,2.34,2.34,2.34,2.34,0
1972-07-26,2.34,2.34,2.34,2.34,0
1972-07-27,2.36,2.36,2.36,2.36,0
1972-07-28,2.38,2.38,2.38,2.38,0
1972-07-31,2.38,2.38,2.38,2.38,0
1972-08-01,2.36,2.36,2.36,2.36,0
1972-08-02,2.39,2.39,2.39,2.39,0
1972-08-03,2.41,2.41,2.41,2.41,0
1972-08-04,2.40,2.40,2.40,2.40,0
1972-08-07,2.39,2.39,2.39,2.39,0
1972-08-08,2.38,2.38,2.38,2.38,0
1972-08-09,2.34,2.34,2.34,2.34,0
1972-08-10,2.36,2.36,2.36,2.36,0
1972-08-11,2.43,2.43,2.43,2.43,0
1972-08-14,2.45,2.45,2.45,2.45,0
1972-08-15,2.45,2.45,2.45,2.45,0
1972-08-16,2.44,2.44,2.44,2.44,0
1972-08-17,2.46,2.46,2.46,2.46,0
1972-08-18,2.49,2.49,2.49,2.49,0
1972-08-21,2.49,2.49,2.49,2.49,0
1972-08-22,2.54,2.54,2.54,2.54,0
1972-08-23,2.51,2.51,2.51,2.51,0
1972-08-24,2.48,2.48,2.48,2.48,0
1972-08-25,2.46,2.46,2.46,2.46,0
1972-08-28,2.48,2.48,2.48,2.48,0
1972-08-29,2.47,2.47,2.47,2.47,0
1972-08-30,2.50,2.50,2.50,2.50,0
1972-08-31,2.54,2.54,2.54,2.54,0
1972-09-01,2.54,2.54,2.54,2.54,0
1972-09-04,2.54,2.54,2.54,2.54,0
1972-09-05,2.54,2.54,2.54,2.54,0
1972-09-06,2.54,2.54,2.54,2.54,0
1972-09-07,2.53,2.53,2.53,2.53,0
1972-09-08,2.54,2.54,2.54,2.54,0
1972-09-11,2.50,2.50,2.50,2.50,0
1972-09-12,2.47,2.47,2.47,2.47,0
1972-09-13,2.50,2.50,2.50,2.50,0
1972-09-14,2.49,2.49,2.49,2.49,0
1972-09-15,2.51,2.51,2.51,2.51,0
1972-09-18,2.50,2.50,2.50,2.50,0
1972-09-19,2.50,2.50,2.50,2.50,0
1972-09-20,2.48,2.48,2.48,2.48,0
1972-09-21,2.47,2.47,2.47,2.47,0
1972-09-22,2.45,2.45,2.45,2.45,0
1972-09-25,2.45,2.45,2.45,2.45,0
1972-09-26,2.47,2.47,2.47,2.47,0
1972-09-27,2.49,2.49,2.49,2.49,0
1972-09-28,2.52,2.52,2.52,2.52,0
1972-09-29,2.54,2.54,2.54,2.54,0
1972-10-02,2.55,2.55,2.55,2.55,0
1972-10-03,2.59,2.59,2.59,2.59,0
1972-10-04,2.61,2.61,2.61,2.61,0
1972-10-05,2.59,2.59,2.59,2.59,0
1972-10-06,2.59,2.59,2.59,2.59,0
1972-10-09,2.60,2.60,2.60,2.60,0
1972-10-10,2.60,2.60,2.60,2.60,0
1972-10-11,2.59,2.59,2.59,2.59,0
1972-10-12,2.59,2.59,2.59,2.59,0
1972-10-13,2.58,2.58,2.58,2.58,0
1972-10-16,2.55,2.55,2.55,2.55,0
1972-10-17,2.59,2.59,2.59,2.59,0
1972-10-18,2.62,2.62,2.62,2.62,0
1972-10-19,2.62,2.62,2.62,2.62,0
1972-10-20,2.63,2.63,2.63,2.63,0
1972-10-23,2.63,2.63,2.63,2.63,0
1972-10-24,2.64,2.64,2.64,2.64,0
1972-10-25,2.65,2.65,2.65,2.65,0
1972-10-26,2.64,2.64,2.64,2.64,0
